Wahl zum Bundestag der Bundesrepublik Deutschland in Mecklenburg-Vorpommern am 27. September 2009;
Endgültiges Ergebnis der Gemeinden - Stimmenanzahl der Parteien;
In den amtsangehörigen Gemeinden ohne Briefwahlergebnisse. Diese werden auf Amtsebene festgestellt.;
Bsp. 13051711: Briefwahlergebnis der Gemeinden des Amtes Bad Doberan-Land (Amt 5111);
Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;Erst-/Zweitstimme;ungueltige Stimmen;gueltige Stimmen;SPD;CDU;DIE LINKE;FDP;GRÜNE;NPD;MLPD;REP;PIRATEN;Einzelbewerber;
P;54;Ludwigslust;5414;Hagenow-Land;13054092;Redefin;1;1;459;282;61,4;1;2,1;97,9;31,2;28,6;27,5;4,7;2,9;5,1;x;x;x;x;
A;54;Ludwigslust;5414;Hagenow-Land;13054092;Redefin;1;1;459;282;61,4;2;5;277;80;84;72;18;9;11;2;0;1;x;
P;54;Ludwigslust;5414;Hagenow-Land;13054092;Redefin;1;1;459;282;61,4;2;1,8;98,2;28,9;30,3;26,0;6,5;3,2;4,0;0,7;0,0;0,4;x;
A;54;Ludwigslust;5414;Hagenow-Land;13054097;Setzin;1;1;442;285;64,5;1;5;280;70;105;58;22;14;11;x;x;x;x;
P;54;Ludwigslust;5414;Hagenow-Land;13054097;Setzin;1;1;442;285;64,5;1;1,8;98,2;25,0;37,5;20,7;7,9;5,0;3,9;x;x;x;x;
A;54;Ludwigslust;5414;Hagenow-Land;13054097;Setzin;1;1;442;285;64,5;2;5;280;60;103;61;24;13;12;0;1;6;x;
P;54;Ludwigslust;5414;Hagenow-Land;13054097;Setzin;1;1;442;285;64,5;2;1,8;98,2;21,4;36,8;21,8;8,6;4,6;4,3;0,0;0,4;2,1;x;
A;54;Ludwigslust;5414;Hagenow-Land;13054100;Strohkirchen;1;1;273;202;74,0;1;1;201;50;59;55;22;10;5;x;x;x;x;
P;54;Ludwigslust;5414;Hagenow-Land;13054100;Strohkirchen;1;1;273;202;74,0;1;0,5;99,5;24,9;29,4;27,4;10,9;5,0;2,5;x;x;x;x;
A;54;Ludwigslust;5414;Hagenow-Land;13054100;Strohkirchen;1;1;273;202;74,0;2;1;201;35;68;57;21;9;6;0;0;5;x;
P;54;Ludwigslust;5414;Hagenow-Land;13054100;Strohkirchen;1;1;273;202;74,0;2;0,5;99,5;17,4;33,8;28,4;10,4;4,5;3,0;0,0;0,0;2,5;x;
A;54;Ludwigslust;5414;Hagenow-Land;13054106;Toddin;2;2;441;295;66,9;1;5;290;71;88;85;22;8;16;x;x;x;x;
P;54;Ludwigslust;5414;Hagenow-Land;13054106;Toddin;2;2;441;295;66,9;1;1,7;98,3;24,5;30,3;29,3;7,6;2,8;5,5;x;x;x;x;
A;54;Ludwigslust;5414;Hagenow-Land;13054106;Toddin;2;2;441;295;66,9;2;4;291;59;90;80;27;11;16;1;1;6;x;
P;54;Ludwigslust;5414;Hagenow-Land;13054106;Toddin;2;2;441;295;66,9;2;1,4;98,6;20,3;30,9;27,5;9,3;3,8;5,5;0,3;0,3;2,1;x;
A;54;Ludwigslust;5414;Hagenow-Land;13054111;Warlitz;1;1;383;220;57,4;1;4;216;52;49;77;18;11;9;x;x;x;x;
P;54;Ludwigslust;5414;Hagenow-Land;13054111;Warlitz;1;1;383;220;57,4;1;1,8;98,2;24,1;22,7;35,6;8,3;5,1;4,2;x;x;x;x;
A;54;Ludwigslust;5414;Hagenow-Land;13054111;Warlitz;1;1;383;220;57,4;2;4;216;47;49;73;22;9;9;0;1;6;x;
P;54;Ludwigslust;5414;Hagenow-Land;13054111;Warlitz;1;1;383;220;57,4;2;1,8;98,2;21,8;22,7;33,8;10,2;4,2;4,2;0,0;0,5;2,8;x;
A;54;Ludwigslust;5414;Hagenow-Land;13054714;Briefwahl Hagenow-Land;1;1;0;487;0,0;1;14;473;110;141;130;46;32;14;x;x;x;x;
P;54;Ludwigslust;5414;Hagenow-Land;13054714;Briefwahl Hagenow-Land;1;1;0;487;0,0;1;2,9;97,1;23,3;29,8;27,5;9,7;6,8;3,0;x;x;x;x;
A;54;Ludwigslust;5414;Hagenow-Land;13054714;Briefwahl Hagenow-Land;1;1;0;487;0,0;2;9;478;83;154;124;57;34;14;1;0;11;x;
P;54;Ludwigslust;5414;Hagenow-Land;13054714;Briefwahl Hagenow-Land;1;1;0;487;0,0;2;1,8;98,2;17,4;32,2;25,9;11,9;7,1;2,9;0,2;0,0;2,3;x;
A;54;Ludwigslust;5416;Ludwigslust-Land;13054001;Alt Krenzlin;4;4;689;443;64,3;1;11;432;103;147;138;24;11;9;x;x;x;x;
P;54;Ludwigslust;5416;Ludwigslust-Land;13054001;Alt Krenzlin;4;4;689;443;64,3;1;2,5;97,5;23,8;34,0;31,9;5,6;2,5;2,1;x;x;x;x;
A;54;Ludwigslust;5416;Ludwigslust-Land;13054001;Alt Krenzlin;4;4;689;443;64,3;2;8;435;92;150;125;39;15;8;0;2;4;x;
P;54;Ludwigslust;5416;Ludwigslust-Land;13054001;Alt Krenzlin;4;4;689;443;64,3;2;1,8;98,2;21,1;34,5;28,7;9,0;3,4;1,8;0,0;0,5;0,9;x;
A;54;Ludwigslust;5416;Ludwigslust-Land;13054017;Bresegard bei Eldena;1;1;185;121;65,4;1;1;120;34;43;24;14;4;1;x;x;x;x;
P;54;Ludwigslust;5416;Ludwigslust-Land;13054017;Bresegard bei Eldena;1;1;185;121;65,4;1;0,8;99,2;28,3;35,8;20,0;11,7;3,3;0,8;x;x;x;x;
A;54;Ludwigslust;5416;Ludwigslust-Land;13054017;Bresegard bei Eldena;1;1;185;121;65,4;2;1;120;31;43;18;17;8;1;1;0;1;x;
P;54;Ludwigslust;5416;Ludwigslust-Land;13054017;Bresegard bei Eldena;1;1;185;121;65,4;2;0,8;99,2;25,8;35,8;15,0;14,2;6,7;0,8;0,8;0,0;0,8;x;
A;54;Ludwigslust;5416;Ludwigslust-Land;13054034;Göhlen;1;1;332;213;64,2;1;8;205;42;63;70;16;6;8;x;x;x;x;
P;54;Ludwigslust;5416;Ludwigslust-Land;13054034;Göhlen;1;1;332;213;64,2;1;3,8;96,2;20,5;30,7;34,1;7,8;2,9;3,9;x;x;x;x;
A;54;Ludwigslust;5416;Ludwigslust-Land;13054034;Göhlen;1;1;332;213;64,2;2;6;207;35;68;69;19;4;7;0;0;5;x;
P;54;Ludwigslust;5416;Ludwigslust-Land;13054034;Göhlen;1;1;332;213;64,2;2;2,8;97,2;16,9;32,9;33,3;9,2;1,9;3,4;0,0;0,0;2,4;x;
A;54;Ludwigslust;5416;Ludwigslust-Land;13054042;Groß Laasch;1;1;843;506;60,0;1;19;487;110;164;130;32;22;29;x;x;x;x;
P;54;Ludwigslust;5416;Ludwigslust-Land;13054042;Groß Laasch;1;1;843;506;60,0;1;3,8;96,2;22,6;33,7;26,7;6,6;4,5;6,0;x;x;x;x;
A;54;Ludwigslust;5416;Ludwigslust-Land;13054042;Groß Laasch;1;1;843;506;60,0;2;18;488;84;179;131;47;17;18;0;1;11;x;
P;54;Ludwigslust;5416;Ludwigslust-Land;13054042;Groß Laasch;1;1;843;506;60,0;2;3,6;96,4;17,2;36,7;26,8;9,6;3,5;3,7;0,0;0,2;2,3;x;
A;54;Ludwigslust;5416;Ludwigslust-Land;13054064;Leussow;1;1;252;174;69,0;1;6;168;48;65;35;10;6;4;x;x;x;x;
P;54;Ludwigslust;5416;Ludwigslust-Land;13054064;Leussow;1;1;252;174;69,0;1;3,4;96,6;28,6;38,7;20,8;6,0;3,6;2,4;x;x;x;x;
A;54;Ludwigslust;5416;Ludwigslust-Land;13054064;Leussow;1;1;252;174;69,0;2;8;166;41;60;39;16;4;5;0;0;1;x;
P;54;Ludwigslust;5416;Ludwigslust-Land;13054064;Leussow;1;1;252;174;69,0;2;4,6;95,4;24,7;36,1;23,5;9,6;2,4;3,0;0,0;0,0;0,6;x;
A;54;Ludwigslust;5416;Ludwigslust-Land;13054065;Lübesse;1;1;621;419;67,5;1;7;412;84;151;104;36;15;22;x;x;x;x;
P;54;Ludwigslust;5416;Ludwigslust-Land;13054065;Lübesse;1;1;621;419;67,5;1;1,7;98,3;20,4;36,7;25,2;8,7;3,6;5,3;x;x;x;x;
A;54;Ludwigslust;5416;Ludwigslust-Land;13054065;Lübesse;1;1;621;419;67,5;2;7;412;66;155;106;44;11;16;1;0;13;x;
P;54;Ludwigslust;5416;Ludwigslust-Land;13054065;Lübesse;1;1;621;419;67,5;2;1,7;98,3;16,0;37,6;25,7;10,7;2,7;3,9;0,2;0,0;3,2;x;
A;54;Ludwigslust;5416;Ludwigslust-Land;13054066;Lüblow;2;2;529;341;64,5;1;9;332;68;112;106;26;15;5;x;x;x;x;
P;54;Ludwigslust;5416;Ludwigslust-Land;13054066;Lüblow;2;2;529;341;64,5;1;2,6;97,4;20,5;33,7;31,9;7,8;4,5;1,5;x;x;x;x;
A;54;Ludwigslust;5416;Ludwigslust-Land;13054066;Lüblow;2;2;529;341;64,5;2;11;330;68;104;101;31;16;7;0;0;3;x;
P;54;Ludwigslust;5416;Ludwigslust-Land;13054066;Lüblow;2;2;529;341;64,5;2;3,2;96,8;20,6;31,5;30,6;9,4;4,8;2,1;0,0;0,0;0,9;x;
A;54;Ludwigslust;5416;Ludwigslust-Land;13054091;Rastow;3;3;1651;990;60,0;1;20;970;229;309;258;103;37;34;x;x;x;x;
P;54;Ludwigslust;5416;Ludwigslust-Land;13054091;Rastow;3;3;1651;990;60,0;1;2,0;98,0;23,6;31,9;26,6;10,6;3,8;3,5;x;x;x;x;
A;54;Ludwigslust;5416;Ludwigslust-Land;13054091;Rastow;3;3;1651;990;60,0;2;14;976;205;336;223;112;38;32;2;2;26;x;
P;54;Ludwigslust;5416;Ludwigslust-Land;13054091;Rastow;3;3;1651;990;60,0;2;1,4;98,6;21,0;34,4;22,8;11,5;3,9;3,3;0,2;0,2;2,7;x;
A;54;Ludwigslust;5416;Ludwigslust-Land;13054101;Sülstorf;3;3;785;525;66,9;1;10;515;94;160;163;43;27;28;x;x;x;x;
P;54;Ludwigslust;5416;Ludwigslust-Land;13054101;Sülstorf;3;3;785;525;66,9;1;1,9;98,1;18,3;31,1;31,7;8,3;5,2;5,4;x;x;x;x;
A;54;Ludwigslust;5416;Ludwigslust-Land;13054101;Sülstorf;3;3;785;525;66,9;2;10;515;70;167;158;52;29;27;1;4;7;x;
P;54;Ludwigslust;5416;Ludwigslust-Land;13054101;Sülstorf;3;3;785;525;66,9;2;1,9;98,1;13,6;32,4;30,7;10,1;5,6;5,2;0,2;0,8;1,4;x;
A;54;Ludwigslust;5416;Ludwigslust-Land;13054107;Uelitz;1;1;387;239;61,8;1;7;232;52;80;71;22;6;1;x;x;x;x;
P;54;Ludwigslust;5416;Ludwigslust-Land;13054107;Uelitz;1;1;387;239;61,8;1;2,9;97,1;22,4;34,5;30,6;9,5;2,6;0,4;x;x;x;x;
A;54;Ludwigslust;5416;Ludwigslust-Land;13054107;Uelitz;1;1;387;239;61,8;2;4;235;39;79;77;17;13;1;3;1;5;x;
P;54;Ludwigslust;5416;Ludwigslust-Land;13054107;Uelitz;1;1;387;239;61,8;2;1,7;98,3;16,6;33,6;32,8;7,2;5,5;0,4;1,3;0,4;2,1;x;
A;54;Ludwigslust;5416;Ludwigslust-Land;13054112;Warlow;1;1;396;231;58,3;1;4;227;36;108;46;23;10;4;x;x;x;x;
P;54;Ludwigslust;5416;Ludwigslust-Land;13054112;Warlow;1;1;396;231;58,3;1;1,7;98,3;15,9;47,6;20,3;10,1;4,4;1,8;x;x;x;x;
A;54;Ludwigslust;5416;Ludwigslust-Land;13054112;Warlow;1;1;396;231;58,3;2;3;228;33;101;47;26;12;2;0;0;7;x;
P;54;Ludwigslust;5416;Ludwigslust-Land;13054112;Warlow;1;1;396;231;58,3;2;1,3;98,7;14,5;44,3;20,6;11,4;5,3;0,9;0,0;0,0;3,1;x;
A;54;Ludwigslust;5416;Ludwigslust-Land;13054119;Wöbbelin;1;1;767;443;57,8;1;8;435;87;133;145;33;12;25;x;x;x;x;
P;54;Ludwigslust;5416;Ludwigslust-Land;13054119;Wöbbelin;1;1;767;443;57,8;1;1,8;98,2;20,0;30,6;33,3;7,6;2,8;5,7;x;x;x;x;
A;54;Ludwigslust;5416;Ludwigslust-Land;13054119;Wöbbelin;1;1;767;443;57,8;2;8;435;65;138;143;46;10;26;0;0;7;x;
P;54;Ludwigslust;5416;Ludwigslust-Land;13054119;Wöbbelin;1;1;767;443;57,8;2;1,8;98,2;14,9;31,7;32,9;10,6;2,3;6,0;0,0;0,0;1,6;x;
A;54;Ludwigslust;5416;Ludwigslust-Land;13054716;Briefwahl Ludwigslust-Land;1;1;0;527;0,0;1;2;525;130;160;152;53;25;5;x;x;x;x;
P;54;Ludwigslust;5416;Ludwigslust-Land;13054716;Briefwahl Ludwigslust-Land;1;1;0;527;0,0;1;0,4;99,6;24,8;30,5;29,0;10,1;4,8;1,0;x;x;x;x;
A;54;Ludwigslust;5416;Ludwigslust-Land;13054716;Briefwahl Ludwigslust-Land;1;1;0;527;0,0;2;2;525;89;193;150;46;28;7;1;1;10;x;
P;54;Ludwigslust;5416;Ludwigslust-Land;13054716;Briefwahl Ludwigslust-Land;1;1;0;527;0,0;2;0,4;99,6;17,0;36,8;28,6;8,8;5,3;1,3;0,2;0,2;1,9;x;
A;54;Ludwigslust;5418;Neustadt-Glewe;13054010;Blievenstorf;1;1;427;267;62,5;1;8;259;59;78;89;16;7;10;x;x;x;x;
P;54;Ludwigslust;5418;Neustadt-Glewe;13054010;Blievenstorf;1;1;427;267;62,5;1;3,0;97,0;22,8;30,1;34,4;6,2;2,7;3,9;x;x;x;x;
A;54;Ludwigslust;5418;Neustadt-Glewe;13054010;Blievenstorf;1;1;427;267;62,5;2;4;263;44;93;83;20;7;8;2;0;6;x;
P;54;Ludwigslust;5418;Neustadt-Glewe;13054010;Blievenstorf;1;1;427;267;62,5;2;1,5;98,5;16,7;35,4;31,6;7,6;2,7;3,0;0,8;0,0;2,3;x;
A;54;Ludwigslust;5418;Neustadt-Glewe;13054015;Brenz;1;1;438;259;59,1;1;4;255;41;96;63;31;14;10;x;x;x;x;
P;54;Ludwigslust;5418;Neustadt-Glewe;13054015;Brenz;1;1;438;259;59,1;1;1,5;98,5;16,1;37,6;24,7;12,2;5,5;3,9;x;x;x;x;
A;54;Ludwigslust;5418;Neustadt-Glewe;13054015;Brenz;1;1;438;259;59,1;2;3;256;32;80;68;50;12;9;0;0;5;x;
P;54;Ludwigslust;5418;Neustadt-Glewe;13054015;Brenz;1;1;438;259;59,1;2;1,2;98,8;12,5;31,3;26,6;19,5;4,7;3,5;0,0;0,0;2,0;x;
A;54;Ludwigslust;5418;Neustadt-Glewe;13054081;Neustadt-Glewe, Stadt;5;5;5717;2973;52,0;1;56;2917;712;914;827;250;95;119;x;x;x;x;
P;54;Ludwigslust;5418;Neustadt-Glewe;13054081;Neustadt-Glewe, Stadt;5;5;5717;2973;52,0;1;1,9;98,1;24,4;31,3;28,4;8,6;3,3;4,1;x;x;x;x;
A;54;Ludwigslust;5418;Neustadt-Glewe;13054081;Neustadt-Glewe, Stadt;5;5;5717;2973;52,0;2;46;2927;569;926;808;317;117;115;5;7;63;x;
P;54;Ludwigslust;5418;Neustadt-Glewe;13054081;Neustadt-Glewe, Stadt;5;5;5717;2973;52,0;2;1,5;98,5;19,4;31,6;27,6;10,8;4,0;3,9;0,2;0,2;2,2;x;
A;54;Ludwigslust;5418;Neustadt-Glewe;13054718;Briefwahl Neustadt-Glewe;1;1;0;465;0,0;1;4;461;119;149;102;61;21;9;x;x;x;x;
P;54;Ludwigslust;5418;Neustadt-Glewe;13054718;Briefwahl Neustadt-Glewe;1;1;0;465;0,0;1;0,9;99,1;25,8;32,3;22,1;13,2;4,6;2,0;x;x;x;x;
A;54;Ludwigslust;5418;Neustadt-Glewe;13054718;Briefwahl Neustadt-Glewe;1;1;0;465;0,0;2;4;461;95;155;99;63;27;11;0;0;11;x;
P;54;Ludwigslust;5418;Neustadt-Glewe;13054718;Briefwahl Neustadt-Glewe;1;1;0;465;0,0;2;0,9;99,1;20,6;33,6;21,5;13,7;5,9;2,4;0,0;0,0;2,4;x;
A;54;Ludwigslust;5420;Stralendorf;13054027;Dümmer;1;1;1221;697;57,1;1;5;692;163;245;156;73;38;17;x;x;x;x;
P;54;Ludwigslust;5420;Stralendorf;13054027;Dümmer;1;1;1221;697;57,1;1;0,7;99,3;23,6;35,4;22,5;10,5;5,5;2,5;x;x;x;x;
A;54;Ludwigslust;5420;Stralendorf;13054027;Dümmer;1;1;1221;697;57,1;2;5;692;117;239;170;104;34;12;1;2;13;x;
P;54;Ludwigslust;5420;Stralendorf;13054027;Dümmer;1;1;1221;697;57,1;2;0,7;99,3;16,9;34,5;24,6;15,0;4,9;1,7;0,1;0,3;1,9;x;
A;54;Ludwigslust;5420;Stralendorf;13054045;Holthusen;1;1;729;466;63,9;1;7;459;105;141;122;60;12;19;x;x;x;x;
P;54;Ludwigslust;5420;Stralendorf;13054045;Holthusen;1;1;729;466;63,9;1;1,5;98,5;22,9;30,7;26,6;13,1;2,6;4,1;x;x;x;x;
A;54;Ludwigslust;5420;Stralendorf;13054045;Holthusen;1;1;729;466;63,9;2;5;461;85;167;120;47;18;17;0;0;7;x;
P;54;Ludwigslust;5420;Stralendorf;13054045;Holthusen;1;1;729;466;63,9;2;1,1;98,9;18,4;36,2;26,0;10,2;3,9;3,7;0,0;0,0;1,5;x;
A;54;Ludwigslust;5420;Stralendorf;13054054;Klein Rogahn;1;1;1118;722;64,6;1;14;708;159;251;143;98;31;26;x;x;x;x;
P;54;Ludwigslust;5420;Stralendorf;13054054;Klein Rogahn;1;1;1118;722;64,6;1;1,9;98,1;22,5;35,5;20,2;13,8;4,4;3,7;x;x;x;x;
A;54;Ludwigslust;5420;Stralendorf;13054054;Klein Rogahn;1;1;1118;722;64,6;2;14;708;108;275;145;105;35;26;1;1;12;x;
P;54;Ludwigslust;5420;Stralendorf;13054054;Klein Rogahn;1;1;1118;722;64,6;2;1,9;98,1;15,3;38,8;20,5;14,8;4,9;3,7;0,1;0,1;1,7;x;
A;54;Ludwigslust;5420;Stralendorf;13054084;Pampow;2;2;2549;1594;62,5;1;18;1576;389;518;412;118;87;52;x;x;x;x;
P;54;Ludwigslust;5420;Stralendorf;13054084;Pampow;2;2;2549;1594;62,5;1;1,1;98,9;24,7;32,9;26,1;7,5;5,5;3,3;x;x;x;x;
A;54;Ludwigslust;5420;Stralendorf;13054084;Pampow;2;2;2549;1594;62,5;2;16;1578;309;564;371;174;73;52;2;3;30;x;
P;54;Ludwigslust;5420;Stralendorf;13054084;Pampow;2;2;2549;1594;62,5;2;1,0;99,0;19,6;35,7;23,5;11,0;4,6;3,3;0,1;0,2;1,9;x;
A;54;Ludwigslust;5420;Stralendorf;13054095;Schossin;1;1;208;131;63,0;1;3;128;24;55;32;6;6;5;x;x;x;x;
P;54;Ludwigslust;5420;Stralendorf;13054095;Schossin;1;1;208;131;63,0;1;2,3;97,7;18,8;43,0;25,0;4,7;4,7;3,9;x;x;x;x;
A;54;Ludwigslust;5420;Stralendorf;13054095;Schossin;1;1;208;131;63,0;2;2;129;18;53;33;12;7;5;0;1;0;x;
P;54;Ludwigslust;5420;Stralendorf;13054095;Schossin;1;1;208;131;63,0;2;1,5;98,5;14,0;41,1;25,6;9,3;5,4;3,9;0,0;0,8;0,0;x;
A;54;Ludwigslust;5420;Stralendorf;13054099;Stralendorf;1;1;1182;724;61,3;1;18;706;162;224;194;70;27;29;x;x;x;x;
P;54;Ludwigslust;5420;Stralendorf;13054099;Stralendorf;1;1;1182;724;61,3;1;2,5;97,5;22,9;31,7;27,5;9,9;3,8;4,1;x;x;x;x;
A;54;Ludwigslust;5420;Stralendorf;13054099;Stralendorf;1;1;1182;724;61,3;2;17;707;130;245;193;72;25;24;0;4;14;x;
P;54;Ludwigslust;5420;Stralendorf;13054099;Stralendorf;1;1;1182;724;61,3;2;2,3;97,7;18,4;34,7;27,3;10,2;3,5;3,4;0,0;0,6;2,0;x;
A;54;Ludwigslust;5420;Stralendorf;13054113;Warsow;2;2;563;389;69,1;1;6;383;80;139;88;41;14;21;x;x;x;x;
P;54;Ludwigslust;5420;Stralendorf;13054113;Warsow;2;2;563;389;69,1;1;1,5;98,5;20,9;36,3;23,0;10,7;3,7;5,5;x;x;x;x;
A;54;Ludwigslust;5420;Stralendorf;13054113;Warsow;2;2;563;389;69,1;2;4;385;77;133;89;51;12;18;0;1;4;x;
P;54;Ludwigslust;5420;Stralendorf;13054113;Warsow;2;2;563;389;69,1;2;1,0;99,0;20,0;34,5;23,1;13,2;3,1;4,7;0,0;0,3;1,0;x;
A;54;Ludwigslust;5420;Stralendorf;13054118;Wittenförden;2;2;2457;1600;65,1;1;13;1587;484;460;416;125;78;24;x;x;x;x;
P;54;Ludwigslust;5420;Stralendorf;13054118;Wittenförden;2;2;2457;1600;65,1;1;0,8;99,2;30,5;29,0;26,2;7,9;4,9;1,5;x;x;x;x;
A;54;Ludwigslust;5420;Stralendorf;13054118;Wittenförden;2;2;2457;1600;65,1;2;10;1590;394;505;398;161;78;21;0;1;32;x;
P;54;Ludwigslust;5420;Stralendorf;13054118;Wittenförden;2;2;2457;1600;65,1;2;0,6;99,4;24,8;31,8;25,0;10,1;4,9;1,3;0,0;0,1;2,0;x;
A;54;Ludwigslust;5420;Stralendorf;13054123;Zülow;1;1;148;105;70,9;1;0;105;24;39;20;4;7;11;x;x;x;x;
P;54;Ludwigslust;5420;Stralendorf;13054123;Zülow;1;1;148;105;70,9;1;0,0;100,0;22,9;37,1;19,0;3,8;6,7;10,5;x;x;x;x;
A;54;Ludwigslust;5420;Stralendorf;13054123;Zülow;1;1;148;105;70,9;2;0;105;17;40;21;6;7;11;0;0;3;x;
P;54;Ludwigslust;5420;Stralendorf;13054123;Zülow;1;1;148;105;70,9;2;0,0;100,0;16,2;38,1;20,0;5,7;6,7;10,5;0,0;0,0;2,9;x;
A;54;Ludwigslust;5420;Stralendorf;13054720;Briefwahl Stralendorf;1;1;0;946;0,0;1;6;940;251;291;229;103;52;14;x;x;x;x;
P;54;Ludwigslust;5420;Stralendorf;13054720;Briefwahl Stralendorf;1;1;0;946;0,0;1;0,6;99,4;26,7;31,0;24,4;11,0;5,5;1,5;x;x;x;x;
A;54;Ludwigslust;5420;Stralendorf;13054720;Briefwahl Stralendorf;1;1;0;946;0,0;2;5;941;158;351;227;107;60;9;1;2;26;x;
P;54;Ludwigslust;5420;Stralendorf;13054720;Briefwahl Stralendorf;1;1;0;946;0,0;2;0,5;99,5;16,8;37,3;24,1;11,4;6,4;1,0;0,1;0,2;2,8;x;
A;54;Ludwigslust;5423;Zarrentin;13054030;Gallin;1;1;452;273;60,4;1;8;265;53;101;68;17;11;15;x;x;x;x;
P;54;Ludwigslust;5423;Zarrentin;13054030;Gallin;1;1;452;273;60,4;1;2,9;97,1;20,0;38,1;25,7;6,4;4,2;5,7;x;x;x;x;
A;54;Ludwigslust;5423;Zarrentin;13054030;Gallin;1;1;452;273;60,4;2;5;268;41;104;69;25;9;13;1;1;5;x;
P;54;Ludwigslust;5423;Zarrentin;13054030;Gallin;1;1;452;273;60,4;2;1,8;98,2;15,3;38,8;25,7;9,3;3,4;4,9;0,4;0,4;1,9;x;
A;54;Ludwigslust;5423;Zarrentin;13054056;Kogel;1;1;516;331;64,1;1;4;327;77;115;84;34;8;9;x;x;x;x;
P;54;Ludwigslust;5423;Zarrentin;13054056;Kogel;1;1;516;331;64,1;1;1,2;98,8;23,5;35,2;25,7;10,4;2,4;2,8;x;x;x;x;
A;54;Ludwigslust;5423;Zarrentin;13054056;Kogel;1;1;516;331;64,1;2;6;325;65;113;87;37;12;8;0;0;3;x;
P;54;Ludwigslust;5423;Zarrentin;13054056;Kogel;1;1;516;331;64,1;2;1,8;98,2;20,0;34,8;26,8;11,4;3,7;2,5;0,0;0,0;0,9;x;
A;54;Ludwigslust;5423;Zarrentin;13054109;Vellahn;7;7;2325;1323;56,9;1;28;1295;310;411;375;95;43;61;x;x;x;x;
P;54;Ludwigslust;5423;Zarrentin;13054109;Vellahn;7;7;2325;1323;56,9;1;2,1;97,9;23,9;31,7;29,0;7,3;3,3;4,7;x;x;x;x;
A;54;Ludwigslust;5423;Zarrentin;13054109;Vellahn;7;7;2325;1323;56,9;2;21;1302;259;417;385;112;48;53;0;2;26;x;
P;54;Ludwigslust;5423;Zarrentin;13054109;Vellahn;7;7;2325;1323;56,9;2;1,6;98,4;19,9;32,0;29,6;8,6;3,7;4,1;0,0;0,2;2,0;x;
A;54;Ludwigslust;5423;Zarrentin;13054121;Zarrentin am Schaalsee, Stadt;6;6;3966;2237;56,4;1;45;2192;559;720;522;201;99;91;x;x;x;x;
P;54;Ludwigslust;5423;Zarrentin;13054121;Zarrentin am Schaalsee, Stadt;6;6;3966;2237;56,4;1;2,0;98,0;25,5;32,8;23,8;9,2;4,5;4,2;x;x;x;x;
A;54;Ludwigslust;5423;Zarrentin;13054121;Zarrentin am Schaalsee, Stadt;6;6;3966;2237;56,4;2;37;2200;449;765;527;216;110;83;1;4;45;x;
P;54;Ludwigslust;5423;Zarrentin;13054121;Zarrentin am Schaalsee, Stadt;6;6;3966;2237;56,4;2;1,7;98,3;20,4;34,8;24,0;9,8;5,0;3,8;0,0;0,2;2,0;x;
A;54;Ludwigslust;5423;Zarrentin;13054126;Lüttow-Valluhn;2;2;629;401;63,8;1;2;399;100;138;94;35;10;22;x;x;x;x;
P;54;Ludwigslust;5423;Zarrentin;13054126;Lüttow-Valluhn;2;2;629;401;63,8;1;0,5;99,5;25,1;34,6;23,6;8,8;2,5;5,5;x;x;x;x;
A;54;Ludwigslust;5423;Zarrentin;13054126;Lüttow-Valluhn;2;2;629;401;63,8;2;1;400;71;139;99;45;15;19;0;1;11;x;
P;54;Ludwigslust;5423;Zarrentin;13054126;Lüttow-Valluhn;2;2;629;401;63,8;2;0,2;99,8;17,8;34,8;24,8;11,3;3,8;4,8;0,0;0,3;2,8;x;
A;54;Ludwigslust;5423;Zarrentin;13054723;Briefwahl Zarrentin;1;1;0;576;0,0;1;3;573;153;223;118;37;33;9;x;x;x;x;
P;54;Ludwigslust;5423;Zarrentin;13054723;Briefwahl Zarrentin;1;1;0;576;0,0;1;0,5;99,5;26,7;38,9;20,6;6,5;5,8;1,6;x;x;x;x;
A;54;Ludwigslust;5423;Zarrentin;13054723;Briefwahl Zarrentin;1;1;0;576;0,0;2;2;574;124;219;129;44;41;6;0;3;8;x;
P;54;Ludwigslust;5423;Zarrentin;13054723;Briefwahl Zarrentin;1;1;0;576;0,0;2;0,3;99,7;21,6;38,2;22,5;7,7;7,1;1,0;0,0;0,5;1,4;x;
A;54;Ludwigslust;5424;Wittenburg;13054057;Körchow;1;1;691;431;62,4;1;7;424;105;153;82;36;24;24;x;x;x;x;
P;54;Ludwigslust;5424;Wittenburg;13054057;Körchow;1;1;691;431;62,4;1;1,6;98,4;24,8;36,1;19,3;8,5;5,7;5,7;x;x;x;x;
A;54;Ludwigslust;5424;Wittenburg;13054057;Körchow;1;1;691;431;62,4;2;6;425;86;145;81;47;30;26;1;1;8;x;
P;54;Ludwigslust;5424;Wittenburg;13054057;Körchow;1;1;691;431;62,4;2;1,4;98,6;20,2;34,1;19,1;11,1;7,1;6,1;0,2;0,2;1,9;x;
A;54;Ludwigslust;5424;Wittenburg;13054063;Lehsen;1;1;276;181;65,6;1;7;174;30;93;28;11;6;6;x;x;x;x;
