Wahl zum Bundestag der Bundesrepublik Deutschland in Mecklenburg-Vorpommern am 27. September 2009;
Endgültiges Ergebnis der Gemeinden - Stimmenanzahl der Parteien;
In den amtsangehörigen Gemeinden ohne Briefwahlergebnisse. Diese werden auf Amtsebene festgestellt.;
Bsp. 13051711: Briefwahlergebnis der Gemeinden des Amtes Bad Doberan-Land (Amt 5111);
Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;Erst-/Zweitstimme;ungueltige Stimmen;gueltige Stimmen;SPD;CDU;DIE LINKE;FDP;GRÜNE;NPD;MLPD;REP;PIRATEN;Einzelbewerber;
P;51;Bad Doberan;5102;Graal-Müritz;13051022;Graal-Müritz;4;4;3751;2628;70,1;1;1,3;98,7;18,6;34,9;30,4;6,2;6,9;1,8;0,5;x;x;0,8;
A;51;Bad Doberan;5102;Graal-Müritz;13051022;Graal-Müritz;4;4;3751;2628;70,1;2;25;2603;442;855;821;246;152;41;7;7;32;x;
P;51;Bad Doberan;5102;Graal-Müritz;13051022;Graal-Müritz;4;4;3751;2628;70,1;2;1,0;99,0;17,0;32,8;31,5;9,5;5,8;1,6;0,3;0,3;1,2;x;
A;51;Bad Doberan;5103;Kühlungsborn, Stadt;13051042;Kühlungsborn, Stadt;5;5;6448;4235;65,7;1;56;4179;1043;1459;1040;310;212;84;x;x;x;31;
P;51;Bad Doberan;5103;Kühlungsborn, Stadt;13051042;Kühlungsborn, Stadt;5;5;6448;4235;65,7;1;1,3;98,7;25,0;34,9;24,9;7,4;5,1;2,0;x;x;x;0,7;
A;51;Bad Doberan;5103;Kühlungsborn, Stadt;13051042;Kühlungsborn, Stadt;5;5;6448;4235;65,7;2;46;4189;838;1449;1052;444;229;76;2;6;93;x;
P;51;Bad Doberan;5103;Kühlungsborn, Stadt;13051042;Kühlungsborn, Stadt;5;5;6448;4235;65,7;2;1,1;98,9;20,0;34,6;25,1;10,6;5,5;1,8;0,0;0,1;2,2;x;
A;51;Bad Doberan;5104;Neubukow, Stadt;13051047;Neubukow, Stadt;4;4;3451;1985;57,5;1;34;1951;462;669;570;121;68;45;x;x;x;16;
P;51;Bad Doberan;5104;Neubukow, Stadt;13051047;Neubukow, Stadt;4;4;3451;1985;57,5;1;1,7;98,3;23,7;34,3;29,2;6,2;3,5;2,3;x;x;x;0,8;
A;51;Bad Doberan;5104;Neubukow, Stadt;13051047;Neubukow, Stadt;4;4;3451;1985;57,5;2;33;1952;366;682;588;152;82;36;5;3;38;x;
P;51;Bad Doberan;5104;Neubukow, Stadt;13051047;Neubukow, Stadt;4;4;3451;1985;57,5;2;1,7;98,3;18,8;34,9;30,1;7,8;4,2;1,8;0,3;0,2;1,9;x;
A;51;Bad Doberan;5106;Sanitz;13051068;Sanitz;7;7;4858;3277;67,5;1;59;3218;597;1123;912;283;187;81;13;x;x;22;
P;51;Bad Doberan;5106;Sanitz;13051068;Sanitz;7;7;4858;3277;67,5;1;1,8;98,2;18,6;34,9;28,3;8,8;5,8;2,5;0,4;x;x;0,7;
A;51;Bad Doberan;5106;Sanitz;13051068;Sanitz;7;7;4858;3277;67,5;2;52;3225;535;1079;931;388;155;77;6;8;46;x;
P;51;Bad Doberan;5106;Sanitz;13051068;Sanitz;7;7;4858;3277;67,5;2;1,6;98,4;16,6;33,5;28,9;12,0;4,8;2,4;0,2;0,2;1,4;x;
A;51;Bad Doberan;5107;Satow;13051086;Satow;9;9;4760;3236;68,0;1;39;3197;706;1080;837;259;150;150;x;x;x;15;
P;51;Bad Doberan;5107;Satow;13051086;Satow;9;9;4760;3236;68,0;1;1,2;98,8;22,1;33,8;26,2;8,1;4,7;4,7;x;x;x;0,5;
A;51;Bad Doberan;5107;Satow;13051086;Satow;9;9;4760;3236;68,0;2;37;3199;555;1025;886;379;136;136;3;10;69;x;
P;51;Bad Doberan;5107;Satow;13051086;Satow;9;9;4760;3236;68,0;2;1,1;98,9;17,3;32,0;27,7;11,8;4,3;4,3;0,1;0,3;2,2;x;
A;51;Bad Doberan;5108;Kröpelin, Stadt;13051041;Kröpelin, Stadt;7;7;4236;2576;60,8;1;56;2520;570;811;710;187;114;104;x;x;x;24;
P;51;Bad Doberan;5108;Kröpelin, Stadt;13051041;Kröpelin, Stadt;7;7;4236;2576;60,8;1;2,2;97,8;22,6;32,2;28,2;7,4;4,5;4,1;x;x;x;1,0;
A;51;Bad Doberan;5108;Kröpelin, Stadt;13051041;Kröpelin, Stadt;7;7;4236;2576;60,8;2;50;2526;464;783;752;255;106;95;6;6;59;x;
P;51;Bad Doberan;5108;Kröpelin, Stadt;13051041;Kröpelin, Stadt;7;7;4236;2576;60,8;2;1,9;98,1;18,4;31,0;29,8;10,1;4,2;3,8;0,2;0,2;2,3;x;
A;51;Bad Doberan;5109;Dummerstorf;13051089;Dummerstorf;12;12;6021;3962;65,8;1;68;3894;788;1433;997;278;228;139;x;x;x;31;
P;51;Bad Doberan;5109;Dummerstorf;13051089;Dummerstorf;12;12;6021;3962;65,8;1;1,7;98,3;20,2;36,8;25,6;7,1;5,9;3,6;x;x;x;0,8;
A;51;Bad Doberan;5109;Dummerstorf;13051089;Dummerstorf;12;12;6021;3962;65,8;2;59;3903;625;1388;1032;421;232;121;4;11;69;x;
