Wahl zum Bundestag der Bundesrepublik Deutschland in Mecklenburg-Vorpommern am 18. September 2005;;;;;;;;;;;;;;;;;;;;;;;;
Endgültiges Ergebnis der Gemeinden - Stimmenanzahl der Parteien;;;;;;;;;;;;;;;;;;;;;;;;
In den amtsangehörigen Gemeinden ohne Briefwahlergebnisse. Diese werden auf Amtsebene festgestellt. Bsp. 13051711: Briefwahlergebnis der Gemeinden des Amtes Bad Doberan-Land (Amt 5111);;;;;;;;;;;;;;;;;;;;;;;;

Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;Erst-/Zweitstimme;ungueltige Stimmen;gueltige Stimmen;SPD;CDU;Die Linke.;FDP;GRÜNE;NPD;GRAUE;MLPD;PBC;Einzelbewerber
A;54;Ludwigslust;5414;Hagenow-Land;13054100;Strohkirchen;1;1;276;203;73,6;1;4;199;100;56;39;0;2;2;x;x;x;0
P;54;Ludwigslust;5414;Hagenow-Land;13054100;Strohkirchen;1;1;276;203;73,6;1;2;98;50,3;28,1;19,6;0;1;1;x;x;x;0
A;54;Ludwigslust;5414;Hagenow-Land;13054100;Strohkirchen;1;1;276;203;73,6;2;2;201;83;54;46;11;3;3;0;1;0;x
P;54;Ludwigslust;5414;Hagenow-Land;13054100;Strohkirchen;1;1;276;203;73,6;2;1;99;41,3;26,9;22,9;5,5;1,5;1,5;0;0,5;0;x
A;54;Ludwigslust;5414;Hagenow-Land;13054106;Toddin;2;2;437;344;78,7;1;5;339;141;94;65;13;5;17;x;x;x;4
P;54;Ludwigslust;5414;Hagenow-Land;13054106;Toddin;2;2;437;344;78,7;1;1,5;98,5;41,6;27,7;19,2;3,8;1,5;5;x;x;x;1,2
A;54;Ludwigslust;5414;Hagenow-Land;13054106;Toddin;2;2;437;344;78,7;2;5;339;140;96;60;13;7;19;4;0;0;x
P;54;Ludwigslust;5414;Hagenow-Land;13054106;Toddin;2;2;437;344;78,7;2;1,5;98,5;41,3;28,3;17,7;3,8;2,1;5,6;1,2;0;0;x
A;54;Ludwigslust;5414;Hagenow-Land;13054111;Warlitz;1;1;385;259;67,3;1;1;258;120;65;49;13;4;7;x;x;x;0
P;54;Ludwigslust;5414;Hagenow-Land;13054111;Warlitz;1;1;385;259;67,3;1;0,4;99,6;46,5;25,2;19;5;1,6;2,7;x;x;x;0
A;54;Ludwigslust;5414;Hagenow-Land;13054111;Warlitz;1;1;385;259;67,3;2;1;258;107;66;53;13;9;9;0;1;0;x
P;54;Ludwigslust;5414;Hagenow-Land;13054111;Warlitz;1;1;385;259;67,3;2;0,4;99,6;41,5;25,6;20,5;5;3,5;3,5;0;0,4;0;x
A;54;Ludwigslust;5414;Hagenow-Land;13054714;Briefwahl Hagenow-Land;1;1;0;405;0;1;7;398;136;135;79;21;10;11;x;x;x;6
P;54;Ludwigslust;5414;Hagenow-Land;13054714;Briefwahl Hagenow-Land;1;1;0;405;0;1;1,7;98,3;34,2;33,9;19,8;5,3;2,5;2,8;x;x;x;1,5
A;54;Ludwigslust;5414;Hagenow-Land;13054714;Briefwahl Hagenow-Land;1;1;0;405;0;2;6;399;140;125;72;30;14;12;2;3;1;x
P;54;Ludwigslust;5414;Hagenow-Land;13054714;Briefwahl Hagenow-Land;1;1;0;405;0;2;1,5;98,5;35,1;31,3;18;7,5;3,5;3;0,5;0,8;0,3;x
A;54;Ludwigslust;5416;Ludwigslust-Land;13054001;Alt Krenzlin;4;4;701;504;71,9;1;9;495;190;166;99;19;4;15;x;x;x;2
P;54;Ludwigslust;5416;Ludwigslust-Land;13054001;Alt Krenzlin;4;4;701;504;71,9;1;1,8;98,2;38,4;33,5;20;3,8;0,8;3;x;x;x;0,4
A;54;Ludwigslust;5416;Ludwigslust-Land;13054001;Alt Krenzlin;4;4;701;504;71,9;2;8;496;172;167;99;30;11;14;0;1;2;x
P;54;Ludwigslust;5416;Ludwigslust-Land;13054001;Alt Krenzlin;4;4;701;504;71,9;2;1,6;98,4;34,7;33,7;20;6;2,2;2,8;0;0,2;0,4;x
A;54;Ludwigslust;5416;Ludwigslust-Land;13054017;Bresegard bei Eldena;1;1;206;143;69,4;1;3;140;60;51;20;3;3;0;x;x;x;3
P;54;Ludwigslust;5416;Ludwigslust-Land;13054017;Bresegard bei Eldena;1;1;206;143;69,4;1;2,1;97,9;42,9;36,4;14,3;2,1;2,1;0;x;x;x;2,1
A;54;Ludwigslust;5416;Ludwigslust-Land;13054017;Bresegard bei Eldena;1;1;206;143;69,4;2;2;141;49;46;23;12;9;2;0;0;0;x
P;54;Ludwigslust;5416;Ludwigslust-Land;13054017;Bresegard bei Eldena;1;1;206;143;69,4;2;1,4;98,6;34,8;32,6;16,3;8,5;6,4;1,4;0;0;0;x
A;54;Ludwigslust;5416;Ludwigslust-Land;13054034;Göhlen;1;1;380;261;68,7;1;3;258;93;73;66;13;6;7;x;x;x;0
P;54;Ludwigslust;5416;Ludwigslust-Land;13054034;Göhlen;1;1;380;261;68,7;1;1,1;98,9;36;28,3;25,6;5;2,3;2,7;x;x;x;0
A;54;Ludwigslust;5416;Ludwigslust-Land;13054034;Göhlen;1;1;380;261;68,7;2;3;258;78;70;68;18;9;9;5;0;1;x
P;54;Ludwigslust;5416;Ludwigslust-Land;13054034;Göhlen;1;1;380;261;68,7;2;1,1;98,9;30,2;27,1;26,4;7;3,5;3,5;1,9;0;0,4;x
A;54;Ludwigslust;5416;Ludwigslust-Land;13054042;Groß Laasch;1;1;880;609;69,2;1;13;596;247;167;95;23;15;43;x;x;x;6
P;54;Ludwigslust;5416;Ludwigslust-Land;13054042;Groß Laasch;1;1;880;609;69,2;1;2,1;97,9;41,4;28;15,9;3,9;2,5;7,2;x;x;x;1
A;54;Ludwigslust;5416;Ludwigslust-Land;13054042;Groß Laasch;1;1;880;609;69,2;2;11;598;213;164;104;41;29;40;5;1;1;x
P;54;Ludwigslust;5416;Ludwigslust-Land;13054042;Groß Laasch;1;1;880;609;69,2;2;1,8;98,2;35,6;27,4;17,4;6,9;4,8;6,7;0,8;0,2;0,2;x
A;54;Ludwigslust;5416;Ludwigslust-Land;13054064;Leussow;1;1;272;220;80,9;1;4;216;89;68;40;5;2;11;x;x;x;1
P;54;Ludwigslust;5416;Ludwigslust-Land;13054064;Leussow;1;1;272;220;80,9;1;1,8;98,2;41,2;31,5;18,5;2,3;0,9;5,1;x;x;x;0,5
A;54;Ludwigslust;5416;Ludwigslust-Land;13054064;Leussow;1;1;272;220;80,9;2;7;213;80;65;43;9;3;11;0;2;0;x
P;54;Ludwigslust;5416;Ludwigslust-Land;13054064;Leussow;1;1;272;220;80,9;2;3,2;96,8;37,6;30,5;20,2;4,2;1,4;5,2;0;0,9;0;x
A;54;Ludwigslust;5416;Ludwigslust-Land;13054065;Lübesse;1;1;652;464;71,2;1;11;453;156;141;91;32;6;25;x;x;x;2
P;54;Ludwigslust;5416;Ludwigslust-Land;13054065;Lübesse;1;1;652;464;71,2;1;2,4;97,6;34,4;31,1;20,1;7,1;1,3;5,5;x;x;x;0,4
A;54;Ludwigslust;5416;Ludwigslust-Land;13054065;Lübesse;1;1;652;464;71,2;2;8;456;150;133;101;31;12;24;3;2;0;x
P;54;Ludwigslust;5416;Ludwigslust-Land;13054065;Lübesse;1;1;652;464;71,2;2;1,7;98,3;32,9;29,2;22,1;6,8;2,6;5,3;0,7;0,4;0;x
A;54;Ludwigslust;5416;Ludwigslust-Land;13054066;Lüblow;2;2;556;423;76,1;1;8;415;162;111;87;15;16;17;x;x;x;7
P;54;Ludwigslust;5416;Ludwigslust-Land;13054066;Lüblow;2;2;556;423;76,1;1;1,9;98,1;39;26,7;21;3,6;3,9;4,1;x;x;x;1,7
A;54;Ludwigslust;5416;Ludwigslust-Land;13054066;Lüblow;2;2;556;423;76,1;2;9;414;143;103;102;21;24;16;3;0;2;x
P;54;Ludwigslust;5416;Ludwigslust-Land;13054066;Lüblow;2;2;556;423;76,1;2;2,1;97,9;34,5;24,9;24,6;5,1;5,8;3,9;0,7;0;0,5;x
A;54;Ludwigslust;5416;Ludwigslust-Land;13054091;Rastow;3;3;1659;1164;70,2;1;20;1144;441;345;240;54;21;39;x;x;x;4
P;54;Ludwigslust;5416;Ludwigslust-Land;13054091;Rastow;3;3;1659;1164;70,2;1;1,7;98,3;38,5;30,2;21;4,7;1,8;3,4;x;x;x;0,3
A;54;Ludwigslust;5416;Ludwigslust-Land;13054091;Rastow;3;3;1659;1164;70,2;2;20;1144;394;333;250;82;37;39;5;3;1;x
P;54;Ludwigslust;5416;Ludwigslust-Land;13054091;Rastow;3;3;1659;1164;70,2;2;1,7;98,3;34,4;29,1;21,9;7,2;3,2;3,4;0,4;0,3;0,1;x
A;54;Ludwigslust;5416;Ludwigslust-Land;13054101;Sülstorf;3;3;793;609;76,8;1;12;597;223;142;153;24;11;31;x;x;x;13
P;54;Ludwigslust;5416;Ludwigslust-Land;13054101;Sülstorf;3;3;793;609;76,8;1;2;98;37,4;23,8;25,6;4;1,8;5,2;x;x;x;2,2
A;54;Ludwigslust;5416;Ludwigslust-Land;13054101;Sülstorf;3;3;793;609;76,8;2;11;598;216;143;147;32;20;33;4;2;1;x
P;54;Ludwigslust;5416;Ludwigslust-Land;13054101;Sülstorf;3;3;793;609;76,8;2;1,8;98,2;36,1;23,9;24,6;5,4;3,3;5,5;0,7;0,3;0,2;x
A;54;Ludwigslust;5416;Ludwigslust-Land;13054107;Uelitz;1;1;393;279;71;1;6;273;94;97;59;7;3;8;x;x;x;5
P;54;Ludwigslust;5416;Ludwigslust-Land;13054107;Uelitz;1;1;393;279;71;1;2,2;97,8;34,4;35,5;21,6;2,6;1,1;2,9;x;x;x;1,8
A;54;Ludwigslust;5416;Ludwigslust-Land;13054107;Uelitz;1;1;393;279;71;2;5;274;93;94;63;9;5;5;4;0;1;x
P;54;Ludwigslust;5416;Ludwigslust-Land;13054107;Uelitz;1;1;393;279;71;2;1,8;98,2;33,9;34,3;23;3,3;1,8;1,8;1,5;0;0,4;x
A;54;Ludwigslust;5416;Ludwigslust-Land;13054112;Warlow;1;1;400;296;74;1;6;290;109;92;55;15;9;9;x;x;x;1
P;54;Ludwigslust;5416;Ludwigslust-Land;13054112;Warlow;1;1;400;296;74;1;2;98;37,6;31,7;19;5,2;3,1;3,1;x;x;x;0,3
A;54;Ludwigslust;5416;Ludwigslust-Land;13054112;Warlow;1;1;400;296;74;2;8;288;90;92;55;22;19;9;0;1;0;x
P;54;Ludwigslust;5416;Ludwigslust-Land;13054112;Warlow;1;1;400;296;74;2;2,7;97,3;31,3;31,9;19,1;7,6;6,6;3,1;0;0,3;0;x
A;54;Ludwigslust;5416;Ludwigslust-Land;13054119;Wöbbelin;1;1;795;562;70,7;1;4;558;194;145;124;30;6;52;x;x;x;7
P;54;Ludwigslust;5416;Ludwigslust-Land;13054119;Wöbbelin;1;1;795;562;70,7;1;0,7;99,3;34,8;26;22,2;5,4;1,1;9,3;x;x;x;1,3
A;54;Ludwigslust;5416;Ludwigslust-Land;13054119;Wöbbelin;1;1;795;562;70,7;2;3;559;168;144;135;31;17;55;6;3;0;x
P;54;Ludwigslust;5416;Ludwigslust-Land;13054119;Wöbbelin;1;1;795;562;70,7;2;0,5;99,5;30,1;25,8;24,2;5,5;3;9,8;1,1;0,5;0;x
A;54;Ludwigslust;5416;Ludwigslust-Land;13054716;Briefwahl Ludwigslust-Land;1;1;0;456;0;1;3;453;169;118;114;16;11;13;x;x;x;12
P;54;Ludwigslust;5416;Ludwigslust-Land;13054716;Briefwahl Ludwigslust-Land;1;1;0;456;0;1;0,7;99,3;37,3;26;25,2;3,5;2,4;2,9;x;x;x;2,6
A;54;Ludwigslust;5416;Ludwigslust-Land;13054716;Briefwahl Ludwigslust-Land;1;1;0;456;0;2;2;454;174;112;110;26;8;15;3;3;3;x
P;54;Ludwigslust;5416;Ludwigslust-Land;13054716;Briefwahl Ludwigslust-Land;1;1;0;456;0;2;0,4;99,6;38,3;24,7;24,2;5,7;1,8;3,3;0,7;0,7;0,7;x
A;54;Ludwigslust;5418;Neustadt-Glewe;13054010;Blievenstorf;1;1;434;306;70,5;1;9;297;101;92;74;8;3;16;x;x;x;3
P;54;Ludwigslust;5418;Neustadt-Glewe;13054010;Blievenstorf;1;1;434;306;70,5;1;2,9;97,1;34;31;24,9;2,7;1;5,4;x;x;x;1
A;54;Ludwigslust;5418;Neustadt-Glewe;13054010;Blievenstorf;1;1;434;306;70,5;2;6;300;87;100;75;10;11;14;1;1;1;x
P;54;Ludwigslust;5418;Neustadt-Glewe;13054010;Blievenstorf;1;1;434;306;70,5;2;2;98;29;33,3;25;3,3;3,7;4,7;0,3;0,3;0,3;x
A;54;Ludwigslust;5418;Neustadt-Glewe;13054015;Brenz;1;1;468;329;70,3;1;5;324;106;116;53;14;9;26;x;x;x;0
P;54;Ludwigslust;5418;Neustadt-Glewe;13054015;Brenz;1;1;468;329;70,3;1;1,5;98,5;32,7;35,8;16,4;4,3;2,8;8;x;x;x;0
A;54;Ludwigslust;5418;Neustadt-Glewe;13054015;Brenz;1;1;468;329;70,3;2;4;325;99;112;55;22;14;20;2;1;0;x
P;54;Ludwigslust;5418;Neustadt-Glewe;13054015;Brenz;1;1;468;329;70,3;2;1,2;98,8;30,5;34,5;16,9;6,8;4,3;6,2;0,6;0,3;0;x
A;54;Ludwigslust;5418;Neustadt-Glewe;13054081;Neustadt-Glewe, Stadt;6;6;5803;3635;62,6;1;71;3564;1372;1046;748;142;73;156;x;x;x;27
P;54;Ludwigslust;5418;Neustadt-Glewe;13054081;Neustadt-Glewe, Stadt;6;6;5803;3635;62,6;1;2;98;38,5;29,3;21;4;2;4,4;x;x;x;0,8
A;54;Ludwigslust;5418;Neustadt-Glewe;13054081;Neustadt-Glewe, Stadt;6;6;5803;3635;62,6;2;69;3566;1243;998;778;225;123;148;36;9;6;x
P;54;Ludwigslust;5418;Neustadt-Glewe;13054081;Neustadt-Glewe, Stadt;6;6;5803;3635;62,6;2;1,9;98,1;34,9;28;21,8;6,3;3,4;4,2;1;0,3;0,2;x
A;54;Ludwigslust;5418;Neustadt-Glewe;13054718;Briefwahl Neustadt-Glewe;1;1;0;413;0;1;3;410;157;124;75;24;12;14;x;x;x;4
P;54;Ludwigslust;5418;Neustadt-Glewe;13054718;Briefwahl Neustadt-Glewe;1;1;0;413;0;1;0,7;99,3;38,3;30,2;18,3;5,9;2,9;3,4;x;x;x;1
A;54;Ludwigslust;5418;Neustadt-Glewe;13054718;Briefwahl Neustadt-Glewe;1;1;0;413;0;2;2;411;140;127;77;28;19;15;3;0;2;x
P;54;Ludwigslust;5418;Neustadt-Glewe;13054718;Briefwahl Neustadt-Glewe;1;1;0;413;0;2;0,5;99,5;34,1;30,9;18,7;6,8;4,6;3,6;0,7;0;0,5;x
A;54;Ludwigslust;5420;Stralendorf;13054027;Dümmer;1;1;1207;790;65,5;1;21;769;297;250;141;39;18;22;x;x;x;2
P;54;Ludwigslust;5420;Stralendorf;13054027;Dümmer;1;1;1207;790;65,5;1;2,7;97,3;38,6;32,5;18,3;5,1;2,3;2,9;x;x;x;0,3
A;54;Ludwigslust;5420;Stralendorf;13054027;Dümmer;1;1;1207;790;65,5;2;21;769;252;231;158;72;27;20;5;2;2;x
P;54;Ludwigslust;5420;Stralendorf;13054027;Dümmer;1;1;1207;790;65,5;2;2,7;97,3;32,8;30;20,5;9,4;3,5;2,6;0,7;0,3;0,3;x
A;54;Ludwigslust;5420;Stralendorf;13054045;Holthusen;2;2;751;525;69,9;1;13;512;211;144;105;31;8;13;x;x;x;0
P;54;Ludwigslust;5420;Stralendorf;13054045;Holthusen;2;2;751;525;69,9;1;2,5;97,5;41,2;28,1;20,5;6,1;1,6;2,5;x;x;x;0
A;54;Ludwigslust;5420;Stralendorf;13054045;Holthusen;2;2;751;525;69,9;2;15;510;207;135;102;37;9;17;2;1;0;x
P;54;Ludwigslust;5420;Stralendorf;13054045;Holthusen;2;2;751;525;69,9;2;2,9;97,1;40,6;26,5;20;7,3;1,8;3,3;0,4;0,2;0;x
A;54;Ludwigslust;5420;Stralendorf;13054054;Klein Rogahn;1;1;1130;809;71,6;1;10;799;303;301;109;36;24;24;x;x;x;2
P;54;Ludwigslust;5420;Stralendorf;13054054;Klein Rogahn;1;1;1130;809;71,6;1;1,2;98,8;37,9;37,7;13,6;4,5;3;3;x;x;x;0,3
A;54;Ludwigslust;5420;Stralendorf;13054054;Klein Rogahn;1;1;1130;809;71,6;2;6;803;272;271;122;72;29;31;3;0;3;x
P;54;Ludwigslust;5420;Stralendorf;13054054;Klein Rogahn;1;1;1130;809;71,6;2;0,7;99,3;33,9;33,7;15,2;9;3,6;3,9;0,4;0;0,4;x
A;54;Ludwigslust;5420;Stralendorf;13054084;Pampow;2;2;2549;1787;70,1;1;19;1768;722;527;369;62;32;50;x;x;x;6
P;54;Ludwigslust;5420;Stralendorf;13054084;Pampow;2;2;2549;1787;70,1;1;1,1;98,9;40,8;29,8;20,9;3,5;1,8;2,8;x;x;x;0,3
A;54;Ludwigslust;5420;Stralendorf;13054084;Pampow;2;2;2549;1787;70,1;2;16;1771;645;501;381;110;65;46;14;6;3;x
P;54;Ludwigslust;5420;Stralendorf;13054084;Pampow;2;2;2549;1787;70,1;2;0,9;99,1;36,4;28,3;21,5;6,2;3,7;2,6;0,8;0,3;0,2;x
A;54;Ludwigslust;5420;Stralendorf;13054095;Schossin;1;1;212;154;72,6;1;3;151;54;59;26;5;1;5;x;x;x;1
P;54;Ludwigslust;5420;Stralendorf;13054095;Schossin;1;1;212;154;72,6;1;1,9;98,1;35,8;39,1;17,2;3,3;0,7;3,3;x;x;x;0,7
A;54;Ludwigslust;5420;Stralendorf;13054095;Schossin;1;1;212;154;72,6;2;5;149;39;59;28;6;10;7;0;0;0;x
P;54;Ludwigslust;5420;Stralendorf;13054095;Schossin;1;1;212;154;72,6;2;3,2;96,8;26,2;39,6;18,8;4;6,7;4,7;0;0;0;x
A;54;Ludwigslust;5420;Stralendorf;13054099;Stralendorf;1;1;1217;855;70,3;1;23;832;326;246;182;32;18;26;x;x;x;2
P;54;Ludwigslust;5420;Stralendorf;13054099;Stralendorf;1;1;1217;855;70,3;1;2,7;97,3;39,2;29,6;21,9;3,8;2,2;3,1;x;x;x;0,2
A;54;Ludwigslust;5420;Stralendorf;13054099;Stralendorf;1;1;1217;855;70,3;2;23;832;305;236;171;53;31;27;6;2;1;x
P;54;Ludwigslust;5420;Stralendorf;13054099;Stralendorf;1;1;1217;855;70,3;2;2,7;97,3;36,7;28,4;20,6;6,4;3,7;3,2;0,7;0,2;0,1;x
A;54;Ludwigslust;5420;Stralendorf;13054113;Warsow;2;2;553;441;79,7;1;3;438;174;139;72;15;4;33;x;x;x;1
P;54;Ludwigslust;5420;Stralendorf;13054113;Warsow;2;2;553;441;79,7;1;0,7;99,3;39,7;31,7;16,4;3,4;0,9;7,5;x;x;x;0,2
A;54;Ludwigslust;5420;Stralendorf;13054113;Warsow;2;2;553;441;79,7;2;4;437;154;121;75;41;10;30;4;1;1;x
P;54;Ludwigslust;5420;Stralendorf;13054113;Warsow;2;2;553;441;79,7;2;0,9;99,1;35,2;27,7;17,2;9,4;2,3;6,9;0,9;0,2;0,2;x
A;54;Ludwigslust;5420;Stralendorf;13054118;Wittenförden;2;2;2493;1747;70,1;1;26;1721;776;499;287;62;49;40;x;x;x;8
P;54;Ludwigslust;5420;Stralendorf;13054118;Wittenförden;2;2;2493;1747;70,1;1;1,5;98,5;45,1;29;16,7;3,6;2,8;2,3;x;x;x;0,5
A;54;Ludwigslust;5420;Stralendorf;13054118;Wittenförden;2;2;2493;1747;70,1;2;23;1724;719;488;305;103;60;27;19;1;2;x
P;54;Ludwigslust;5420;Stralendorf;13054118;Wittenförden;2;2;2493;1747;70,1;2;1,3;98,7;41,7;28,3;17,7;6;3,5;1,6;1,1;0,1;0,1;x
A;54;Ludwigslust;5420;Stralendorf;13054123;Zülow;1;1;151;126;83,4;1;4;122;41;50;15;5;1;10;x;x;x;0
P;54;Ludwigslust;5420;Stralendorf;13054123;Zülow;1;1;151;126;83,4;1;3,2;96,8;33,6;41;12,3;4,1;0,8;8,2;x;x;x;0
A;54;Ludwigslust;5420;Stralendorf;13054123;Zülow;1;1;151;126;83,4;2;5;121;44;43;14;7;4;8;1;0;0;x
P;54;Ludwigslust;5420;Stralendorf;13054123;Zülow;1;1;151;126;83,4;2;4;96;36,4;35,5;11,6;5,8;3,3;6,6;0,8;0;0;x
A;54;Ludwigslust;5420;Stralendorf;13054720;Briefwahl Stralendorf;1;1;0;824;0;1;12;812;315;271;156;34;14;14;x;x;x;8
P;54;Ludwigslust;5420;Stralendorf;13054720;Briefwahl Stralendorf;1;1;0;824;0;1;1,5;98,5;38,8;33,4;19,2;4,2;1,7;1,7;x;x;x;1
A;54;Ludwigslust;5420;Stralendorf;13054720;Briefwahl Stralendorf;1;1;0;824;0;2;11;813;296;243;149;72;30;13;7;1;2;x
P;54;Ludwigslust;5420;Stralendorf;13054720;Briefwahl Stralendorf;1;1;0;824;0;2;1,3;98,7;36,4;29,9;18,3;8,9;3,7;1,6;0,9;0,1;0,2;x
A;54;Ludwigslust;5423;Zarrentin;13054030;Gallin;1;1;456;319;70;1;10;309;105;116;50;15;6;17;x;x;x;0
P;54;Ludwigslust;5423;Zarrentin;13054030;Gallin;1;1;456;319;70;1;3,1;96,9;34;37,5;16,2;4,9;1,9;5,5;x;x;x;0
A;54;Ludwigslust;5423;Zarrentin;13054030;Gallin;1;1;456;319;70;2;6;313;101;113;58;16;5;16;3;1;0;x
P;54;Ludwigslust;5423;Zarrentin;13054030;Gallin;1;1;456;319;70;2;1,9;98,1;32,3;36,1;18,5;5,1;1,6;5,1;1;0,3;0;x
A;54;Ludwigslust;5423;Zarrentin;13054056;Kogel;1;1;537;360;67;1;6;354;126;119;52;27;11;18;x;x;x;1
P;54;Ludwigslust;5423;Zarrentin;13054056;Kogel;1;1;537;360;67;1;1,7;98,3;35,6;33,6;14,7;7,6;3,1;5,1;x;x;x;0,3
A;54;Ludwigslust;5423;Zarrentin;13054056;Kogel;1;1;537;360;67;2;6;354;106;115;64;35;14;18;1;1;0;x
P;54;Ludwigslust;5423;Zarrentin;13054056;Kogel;1;1;537;360;67;2;1,7;98,3;29,9;32,5;18,1;9,9;4;5,1;0,3;0,3;0;x
A;54;Ludwigslust;5423;Zarrentin;13054109;Vellahn;7;7;2371;1633;68,9;1;48;1585;630;499;296;58;30;66;x;x;x;6
P;54;Ludwigslust;5423;Zarrentin;13054109;Vellahn;7;7;2371;1633;68,9;1;2,9;97,1;39,7;31,5;18,7;3,7;1,9;4,2;x;x;x;0,4
A;54;Ludwigslust;5423;Zarrentin;13054109;Vellahn;7;7;2371;1633;68,9;2;40;1593;600;474;296;87;52;70;6;3;5;x
P;54;Ludwigslust;5423;Zarrentin;13054109;Vellahn;7;7;2371;1633;68,9;2;2,4;97,6;37,7;29,8;18,6;5,5;3,3;4,4;0,4;0,2;0,3;x
A;54;Ludwigslust;5423;Zarrentin;13054121;Zarrentin am Schaalsee;5;5;3825;2476;64,7;1;44;2432;990;749;407;96;62;119;x;x;x;9
P;54;Ludwigslust;5423;Zarrentin;13054121;Zarrentin am Schaalsee;5;5;3825;2476;64,7;1;1,8;98,2;40,7;30,8;16,7;3,9;2,5;4,9;x;x;x;0,4
A;54;Ludwigslust;5423;Zarrentin;13054121;Zarrentin am Schaalsee;5;5;3825;2476;64,7;2;38;2438;897;720;432;148;101;108;13;3;16;x
P;54;Ludwigslust;5423;Zarrentin;13054121;Zarrentin am Schaalsee;5;5;3825;2476;64,7;2;1,5;98,5;36,8;29,5;17,7;6,1;4,1;4,4;0,5;0,1;0,7;x
A;54;Ludwigslust;5423;Zarrentin;13054126;Lüttow-Valluhn;2;2;631;417;66,1;1;8;409;165;138;62;15;7;19;x;x;x;3
P;54;Ludwigslust;5423;Zarrentin;13054126;Lüttow-Valluhn;2;2;631;417;66,1;1;1,9;98,1;40,3;33,7;15,2;3,7;1,7;4,6;x;x;x;0,7
A;54;Ludwigslust;5423;Zarrentin;13054126;Lüttow-Valluhn;2;2;631;417;66,1;2;9;408;144;123;69;22;18;19;7;2;4;x
P;54;Ludwigslust;5423;Zarrentin;13054126;Lüttow-Valluhn;2;2;631;417;66,1;2;2,2;97,8;35,3;30,1;16,9;5,4;4,4;4,7;1,7;0,5;1;x
A;54;Ludwigslust;5423;Zarrentin;13054723;Briefwahl Zarrentin;1;1;0;451;0;1;1;450;175;161;78;13;14;8;x;x;x;1
P;54;Ludwigslust;5423;Zarrentin;13054723;Briefwahl Zarrentin;1;1;0;451;0;1;0,2;99,8;38,9;35,8;17,3;2,9;3,1;1,8;x;x;x;0,2
A;54;Ludwigslust;5423;Zarrentin;13054723;Briefwahl Zarrentin;1;1;0;451;0;2;2;449;157;156;72;21;30;6;5;1;1;x
P;54;Ludwigslust;5423;Zarrentin;13054723;Briefwahl Zarrentin;1;1;0;451;0;2;0,4;99,6;35;34,7;16;4,7;6,7;1,3;1,1;0,2;0,2;x
A;54;Ludwigslust;5424;Wittenburg;13054057;Körchow;1;1;707;491;69,4;1;9;482;174;179;72;18;10;29;x;x;x;0
P;54;Ludwigslust;5424;Wittenburg;13054057;Körchow;1;1;707;491;69,4;1;1,8;98,2;36,1;37,1;14,9;3,7;2,1;6;x;x;x;0
A;54;Ludwigslust;5424;Wittenburg;13054057;Körchow;1;1;707;491;69,4;2;6;485;145;173;81;33;15;33;5;0;0;x
P;54;Ludwigslust;5424;Wittenburg;13054057;Körchow;1;1;707;491;69,4;2;1,2;98,8;29,9;35,7;16,7;6,8;3,1;6,8;1;0;0;x
A;54;Ludwigslust;5424;Wittenburg;13054063;Lehsen;1;1;268;214;79,9;1;7;207;60;113;13;16;1;4;x;x;x;0
P;54;Ludwigslust;5424;Wittenburg;13054063;Lehsen;1;1;268;214;79,9;1;3,3;96,7;29;54,6;6,3;7,7;0,5;1,9;x;x;x;0
A;54;Ludwigslust;5424;Wittenburg;13054063;Lehsen;1;1;268;214;79,9;2;6;208;52;118;20;11;1;3;1;0;2;x
P;54;Ludwigslust;5424;Wittenburg;13054063;Lehsen;1;1;268;214;79,9;2;2,8;97,2;25;56,7;9,6;5,3;0,5;1,4;0,5;0;1;x
A;54;Ludwigslust;5424;Wittenburg;13054117;Wittenburg, Stadt;4;4;4171;2562;61,4;1;70;2492;990;746;483;111;56;93;x;x;x;13
P;54;Ludwigslust;5424;Wittenburg;13054117;Wittenburg, Stadt;4;4;4171;2562;61,4;1;2,7;97,3;39,7;29,9;19,4;4,5;2,2;3,7;x;x;x;0,5
A;54;Ludwigslust;5424;Wittenburg;13054117;Wittenburg, Stadt;4;4;4171;2562;61,4;2;68;2494;901;733;489;151;100;88;14;4;14;x
P;54;Ludwigslust;5424;Wittenburg;13054117;Wittenburg, Stadt;4;4;4171;2562;61,4;2;2,7;97,3;36,1;29,4;19,6;6,1;4;3,5;0,6;0,2;0,6;x
A;54;Ludwigslust;5424;Wittenburg;13054124;Wittendörp;7;7;2435;1619;66,5;1;25;1594;605;574;224;86;29;68;x;x;x;8
P;54;Ludwigslust;5424;Wittenburg;13054124;Wittendörp;7;7;2435;1619;66,5;1;1,5;98,5;38;36;14,1;5,4;1,8;4,3;x;x;x;0,5
A;54;Ludwigslust;5424;Wittenburg;13054124;Wittendörp;7;7;2435;1619;66,5;2;23;1596;531;552;246;121;70;67;6;2;1;x
P;54;Ludwigslust;5424;Wittenburg;13054124;Wittendörp;7;7;2435;1619;66,5;2;1,4;98,6;33,3;34,6;15,4;7,6;4,4;4,2;0,4;0,1;0,1;x
