Wahl zum Bundestag der Bundesrepublik Deutschland in Mecklenburg-Vorpommern am 18. September 2005;;;;;;;;;;;;;;;;;;;;;;;;
Endgültiges Ergebnis der Gemeinden - Stimmenanzahl der Parteien;;;;;;;;;;;;;;;;;;;;;;;;
In den amtsangehörigen Gemeinden ohne Briefwahlergebnisse. Diese werden auf Amtsebene festgestellt. Bsp. 13051711: Briefwahlergebnis der Gemeinden des Amtes Bad Doberan-Land (Amt 5111);;;;;;;;;;;;;;;;;;;;;;;;

Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;Erst-/Zweitstimme;ungueltige Stimmen;gueltige Stimmen;SPD;CDU;Die Linke.;FDP;GRÜNE;NPD;GRAUE;MLPD;PBC;Einzelbewerber
A;51;Bad Doberan;5102;Graal-Müritz;13051022;Graal-Müritz;4;4;3644;2775;76,2;1;39;2736;991;862;585;128;148;x;x;22;x;x
P;51;Bad Doberan;5102;Graal-Müritz;13051022;Graal-Müritz;4;4;3644;2775;76,2;1;1,4;98,6;36,2;31,5;21,4;4,7;5,4;x;x;0,8;x;x
A;51;Bad Doberan;5102;Graal-Müritz;13051022;Graal-Müritz;4;4;3644;2775;76,2;2;32;2743;936;786;654;169;128;30;23;11;6;x
P;51;Bad Doberan;5102;Graal-Müritz;13051022;Graal-Müritz;4;4;3644;2775;76,2;2;1,2;98,8;34,1;28,7;23,8;6,2;4,7;1,1;0,8;0,4;0,2;x
A;51;Bad Doberan;5103;Kühlungsborn, Stadt;13051042;Kühlungsborn, Stadt;5;5;6271;4559;72,7;1;67;4492;1731;1409;937;139;142;99;x;x;11;24
P;51;Bad Doberan;5103;Kühlungsborn, Stadt;13051042;Kühlungsborn, Stadt;5;5;6271;4559;72,7;1;1,5;98,5;38,5;31,4;20,9;3,1;3,2;2,2;x;x;0,2;0,5
A;51;Bad Doberan;5103;Kühlungsborn, Stadt;13051042;Kühlungsborn, Stadt;5;5;6271;4559;72,7;2;59;4500;1646;1313;911;276;205;95;28;9;17;x
P;51;Bad Doberan;5103;Kühlungsborn, Stadt;13051042;Kühlungsborn, Stadt;5;5;6271;4559;72,7;2;1,3;98,7;36,6;29,2;20,2;6,1;4,6;2,1;0,6;0,2;0,4;x
A;51;Bad Doberan;5104;Neubukow, Stadt;13051047;Neubukow, Stadt;4;4;3578;2470;69;1;67;2403;850;732;576;75;60;83;x;x;10;17
P;51;Bad Doberan;5104;Neubukow, Stadt;13051047;Neubukow, Stadt;4;4;3578;2470;69;1;2,7;97,3;35,4;30,5;24;3,1;2,5;3,5;x;x;0,4;0,7
