Gebiet,Wahlberechtigte,Waehler,Ungueltige_Erststimmen,Ungueltige_Zeitstimmen,Gueltige_Erststimmen,Gueltige_Zweitstimmen,SPD_Erststimmen,SPD_Zweitstimmen,Union_gesamt_Erststimmen,Union_gesamt_Zweitstimmen,CDU_Erststimmen,CDU_Zweitstimmen,CSU_Erststimmen,CSU_Zweitstimmen,GRUENE_Erststimmen_inkl_B90,GRUENE_Zweitstimmen_inkl_B90,FDP_Erststimmen,FDP_Zweitstimmen,Linke_Erststimmen,Linke_Zweitstimmen,Afd_Erststimmen,Afd_Zweitstimmen
Bundesgebiet,60436560,46995915,720990,540143,46274925,46455772,16279980,15545366,21131478,20358096,17707574,17055116,3423904,3302980,2589912,2347407,3595135,5123233,,,,
MV,1432336,1015043,29756,17922,985287,997121,303850,264715,428255,410940,428255,410940,,,6703,58792,100141,91229,,,,
