Gebiet,Wahlberechtigte,Waehler,Ungueltige_Erststimmen,Ungueltige_Zeitstimmen,Gueltige_Erststimmen,Gueltige_Zweitstimmen,SPD_Erststimmen,SPD_Zweitstimmen,Union_gesamt_Erststimmen,Union_gesamt_Zweitstimmen,CDU_Erststimmen,CDU_Zweitstimmen,CSU_Erststimmen,CSU_Zweitstimmen,GRUENE_Erststimmen,GRUENE_Zweitstimmen,FDP_Erststimmen,FDP_Zweitstimmen,Linke_Erststimmen,Linke_Zweitstimmen,Afd_Erststimmen,Afd_Zweitstimmen
Bundesgebiet,61432868,48582761,741037,586281,47841724,47996480,20059967,18488668,19647690,18482641,15336512,14167561,4311178,4315080,2693794,4110355,2752796,3538815,,,,
MV,1412019,996580,24993,23485,971587,973095,411575,405415,306162,294746,306162,294746,,,30804,34180,46988,52816,,,,
