Gebiet,Wahlberechtigte,Waehler,Ungueltige_Erststimmen,Ungueltige_Zeitstimmen,Gueltige_Erststimmen,Gueltige_Zweitstimmen,SPD_Erststimmen,SPD_Zweitstimmen,Union_gesamt_Erststimmen,Union_gesamt_Zweitstimmen,CDU_Erststimmen,CDU_Zweitstimmen,CSU_Erststimmen,CSU_Zweitstimmen,GRUENE_Erststimmen,GRUENE_Zweitstimmen,FDP_Erststimmen,FDP_Zweitstimmen,Linke_Erststimmen,Linke_Zweitstimmen,Afd_Erststimmen,Afd_Zweitstimmen
Bundesgebiet,61688485,46976341,586726,460849,46389615,46515492,11429231,9539381,17286238,15317344,14030751,12447656,3255487,2869688,3717922,4158400,3249238,4999449,3966637,4297270,5317499,5878115
MV,1324614,938587,11742,11077,926845,927510,161437,139689,316662,307263,316662,307263,,,33746,39514,43899,57895,171130,165368,168456,172409
