Gebiet,Wahlberechtigte,Waehler,Ungueltige_Erststimmen,Ungueltige_Zeitstimmen,Gueltige_Erststimmen,Gueltige_Zweitstimmen,SPD_Erststimmen,SPD_Zweitstimmen,Union_gesamt_Erststimmen,Union_gesamt_Zweitstimmen,CDU_Erststimmen,CDU_Zweitstimmen,CSU_Erststimmen,CSU_Zweitstimmen,GRUENE_Erststimmen,GRUENE_Zweitstimmen,FDP_Erststimmen,FDP_Zweitstimmen,Linke_Erststimmen,Linke_Zweitstimmen,Afd_Erststimmen,Afd_Zweitstimmen,,,,,,,,,,,
Bundesgebiet,61946900,44309925,684883,583069,43625042,43726856,12843458,11252215,19777721,18165446,16233642,14921877,3544079,3243569,3180299,3694057,1028645,2083533,3585178,3755699,810915,2056985,,,,,3977125,,4643272,,3191000,,2830238
MV,1350705,881718,15974,13975,865744,867743,165660,154431,384607,369048,384607,369048,,,33232,37716,11891,18968,204479,186871,,48885,,,,,,,,,,,
