Gebiet,Wahlberechtigte,Waehler,Ungueltige_Erststimmen,Ungueltige_Zeitstimmen,Gueltige_Erststimmen,Gueltige_Zweitstimmen,SPD_Erststimmen,SPD_Zweitstimmen,Union_gesamt_Erststimmen,Union_gesamt_Zweitstimmen,CDU_Erststimmen,CDU_Zweitstimmen,CSU_Erststimmen,CSU_Zweitstimmen,GRUENE_Erststimmen,GRUENE_Zweitstimmen,FDP_Erststimmen,FDP_Zweitstimmen,Linke_Erststimmen,Linke_Zweitstimmen,Afd_Erststimmen,Afd_Zweitstimmen
Bundesgebiet,61181072,46854508,492495,412485,46362013,46442023,12234690,11955434,13239572,11178298,10451524,8775471,2788048,2402827,6469081,6852206,4042951,5319952,2307536,2270906,4695611,4803902
MV,1314435,935040,16954,16181,918086,918859,261408,267368,180669,160103,180669,160103,,,62664,71956,66328,75555,116033,101735,169977,165342
