Wahl zum Bundestag der Bundesrepublik Deutschland in Mecklenburg-Vorpommern am 22. September 2002;;;;;;;;;;;;;;;;;;;;;;;
Endgültiges Ergebnis der Gemeinden - Stimmenanzahl der Parteien;;;;;;;;;;;;;;;;;;;;;;;
In den amtsangehörigen Gemeinden ohne Briefwahlergebnisse. Diese werden auf Amtsebene festgestellt. Bsp. 13051711: Briefwahlergebnis der Gemeinden des Amtes Bad Doberan-Land (Amt 5111);;;;;;;;;;;;;;;;;;;;;;;
Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;Erst-/Zweitstimme;ungueltige Stimmen;gueltige Stimmen;SPD;CDU;PDS;GRÜNE;FDP;NPD;REP;Schill;Einzelbewerber
A;53;Güstrow;5316;Laage-Land;13053001;Alt Kätwin;1;1;271;172;63,5;1;7;165;85;51;19;4;4;x;x;2;x
P;53;Güstrow;5316;Laage-Land;13053001;Alt Kätwin;1;1;271;172;63,5;1;4,1;95,9;51,5;30,9;11,5;2,4;2,4;x;x;1,2;x
A;53;Güstrow;5316;Laage-Land;13053001;Alt Kätwin;1;1;271;172;63,5;2;6;166;76;51;22;5;6;2;1;3;x
P;53;Güstrow;5316;Laage-Land;13053001;Alt Kätwin;1;1;271;172;63,5;2;3,5;96,5;45,8;30,7;13,3;3;3,6;1,2;0,6;1,8;x
A;53;Güstrow;5316;Laage-Land;13053017;Diekhof;1;1;665;429;64,5;1;11;418;192;145;49;8;19;x;x;5;x
P;53;Güstrow;5316;Laage-Land;13053017;Diekhof;1;1;665;429;64,5;1;2,6;97,4;45,9;34,7;11,7;1,9;4,5;x;x;1,2;x
A;53;Güstrow;5316;Laage-Land;13053017;Diekhof;1;1;665;429;64,5;2;14;415;172;136;60;13;20;4;4;6;x
P;53;Güstrow;5316;Laage-Land;13053017;Diekhof;1;1;665;429;64,5;2;3,3;96,7;41,4;32,8;14,5;3,1;4,8;1;1;1,4;x
A;53;Güstrow;5316;Laage-Land;13053034;Hohen Sprenz;1;1;455;295;64,8;1;11;284;132;92;45;4;9;x;x;2;x
P;53;Güstrow;5316;Laage-Land;13053034;Hohen Sprenz;1;1;455;295;64,8;1;3,7;96,3;46,5;32,4;15,8;1,4;3,2;x;x;0,7;x
A;53;Güstrow;5316;Laage-Land;13053034;Hohen Sprenz;1;1;455;295;64,8;2;14;281;112;94;53;8;11;0;0;3;x
P;53;Güstrow;5316;Laage-Land;13053034;Hohen Sprenz;1;1;455;295;64,8;2;4,7;95,3;39,9;33,5;18,9;2,8;3,9;0;0;1,1;x
A;53;Güstrow;5316;Laage-Land;13053052;Liessow;1;1;464;304;65,5;1;8;296;153;78;37;4;22;x;x;2;x
P;53;Güstrow;5316;Laage-Land;13053052;Liessow;1;1;464;304;65,5;1;2,6;97,4;51,7;26,4;12,5;1,4;7,4;x;x;0,7;x
A;53;Güstrow;5316;Laage-Land;13053052;Liessow;1;1;464;304;65,5;2;6;298;140;82;38;5;28;2;0;3;x
P;53;Güstrow;5316;Laage-Land;13053052;Liessow;1;1;464;304;65,5;2;2;98;47;27,5;12,8;1,7;9,4;0,7;0;1;x
A;53;Güstrow;5316;Laage-Land;13053070;Pölitz;1;1;210;131;62,4;1;6;125;50;53;14;3;4;x;x;1;x
P;53;Güstrow;5316;Laage-Land;13053070;Pölitz;1;1;210;131;62,4;1;4,6;95,4;40;42,4;11,2;2,4;3,2;x;x;0,8;x
A;53;Güstrow;5316;Laage-Land;13053070;Pölitz;1;1;210;131;62,4;2;6;125;50;51;16;2;3;1;0;2;x
P;53;Güstrow;5316;Laage-Land;13053070;Pölitz;1;1;210;131;62,4;2;4,6;95,4;40;40,8;12,8;1,6;2,4;0,8;0;1,6;x
A;53;Güstrow;5316;Laage-Land;13053092;Wardow;1;1;886;525;59,3;1;12;513;207;207;68;10;18;x;x;3;x
P;53;Güstrow;5316;Laage-Land;13053092;Wardow;1;1;886;525;59,3;1;2,3;97,7;40,4;40,4;13,3;1,9;3,5;x;x;0,6;x
A;53;Güstrow;5316;Laage-Land;13053092;Wardow;1;1;886;525;59,3;2;5;520;200;201;69;9;29;4;2;6;x
P;53;Güstrow;5316;Laage-Land;13053092;Wardow;1;1;886;525;59,3;2;1;99;38,5;38,7;13,3;1,7;5,6;0,8;0,4;1,2;x
A;53;Güstrow;5316;Laage-Land;13053097;Weitendorf;1;1;674;454;67,4;1;15;439;186;138;87;9;17;x;x;2;x
P;53;Güstrow;5316;Laage-Land;13053097;Weitendorf;1;1;674;454;67,4;1;3,3;96,7;42,4;31,4;19,8;2,1;3,9;x;x;0,5;x
A;53;Güstrow;5316;Laage-Land;13053097;Weitendorf;1;1;674;454;67,4;2;16;438;186;133;83;8;16;3;4;5;x
P;53;Güstrow;5316;Laage-Land;13053097;Weitendorf;1;1;674;454;67,4;2;3,5;96,5;42,5;30,4;18,9;1,8;3,7;0,7;0,9;1,1;x
A;53;Güstrow;5316;Laage-Land;13053103;Dolgen am See;2;2;608;362;59,5;1;9;353;156;118;51;9;12;x;x;7;x
P;53;Güstrow;5316;Laage-Land;13053103;Dolgen am See;2;2;608;362;59,5;1;2,5;97,5;44,2;33,4;14,4;2,5;3,4;x;x;2;x
A;53;Güstrow;5316;Laage-Land;13053103;Dolgen am See;2;2;608;362;59,5;2;10;352;143;108;56;14;16;3;0;12;x
P;53;Güstrow;5316;Laage-Land;13053103;Dolgen am See;2;2;608;362;59,5;2;2,8;97,2;40,6;30,7;15,9;4;4,5;0,9;0;3,4;x
A;53;Güstrow;5316;Laage-Land;13053716;Briefwahl Laage-Land;1;1;0;215;0;1;5;210;67;70;52;6;9;x;x;6;x
P;53;Güstrow;5316;Laage-Land;13053716;Briefwahl Laage-Land;1;1;0;215;0;1;2,3;97,7;31,9;33,3;24,8;2,9;4,3;x;x;2,9;x
A;53;Güstrow;5316;Laage-Land;13053716;Briefwahl Laage-Land;1;1;0;215;0;2;5;210;58;71;46;14;10;3;0;8;x
P;53;Güstrow;5316;Laage-Land;13053716;Briefwahl Laage-Land;1;1;0;215;0;2;2,3;97,7;27,6;33,8;21,9;6,7;4,8;1,4;0;3,8;x
A;53;Güstrow;5317;Lalendorf;13053048;Lalendorf;3;3;2056;1196;58,2;1;25;1171;523;382;166;25;60;x;x;15;x
P;53;Güstrow;5317;Lalendorf;13053048;Lalendorf;3;3;2056;1196;58,2;1;2,1;97,9;44,7;32,6;14,2;2,1;5,1;x;x;1,3;x
A;53;Güstrow;5317;Lalendorf;13053048;Lalendorf;3;3;2056;1196;58,2;2;30;1166;483;373;184;37;61;6;3;19;x
P;53;Güstrow;5317;Lalendorf;13053048;Lalendorf;3;3;2056;1196;58,2;2;2,5;97,5;41,4;32;15,8;3,2;5,2;0,5;0,3;1,6;x
A;53;Güstrow;5317;Lalendorf;13053049;Langhagen;1;1;569;352;61,9;1;7;345;170;99;51;10;15;x;x;0;x
P;53;Güstrow;5317;Lalendorf;13053049;Langhagen;1;1;569;352;61,9;1;2;98;49,3;28,7;14,8;2,9;4,3;x;x;0;x
A;53;Güstrow;5317;Lalendorf;13053049;Langhagen;1;1;569;352;61,9;2;10;342;156;93;58;12;18;4;0;1;x
P;53;Güstrow;5317;Lalendorf;13053049;Langhagen;1;1;569;352;61,9;2;2,8;97,2;45,6;27,2;17;3,5;5,3;1,2;0;0,3;x
A;53;Güstrow;5317;Lalendorf;13053096;Wattmannshagen;1;1;859;526;61,2;1;13;513;206;193;64;9;25;x;x;16;x
P;53;Güstrow;5317;Lalendorf;13053096;Wattmannshagen;1;1;859;526;61,2;1;2,5;97,5;40,2;37,6;12,5;1,8;4,9;x;x;3,1;x
A;53;Güstrow;5317;Lalendorf;13053096;Wattmannshagen;1;1;859;526;61,2;2;12;514;183;203;67;11;29;3;3;15;x
P;53;Güstrow;5317;Lalendorf;13053096;Wattmannshagen;1;1;859;526;61,2;2;2,3;97,7;35,6;39,5;13;2,1;5,6;0,6;0,6;2,9;x
A;53;Güstrow;5317;Lalendorf;13053717;Briefwahl Lalendorf;1;1;0;196;0;1;4;192;81;69;24;11;6;x;x;1;x
P;53;Güstrow;5317;Lalendorf;13053717;Briefwahl Lalendorf;1;1;0;196;0;1;2;98;42,2;35,9;12,5;5,7;3,1;x;x;0,5;x
A;53;Güstrow;5317;Lalendorf;13053717;Briefwahl Lalendorf;1;1;0;196;0;2;4;192;76;65;28;10;9;0;0;4;x
P;53;Güstrow;5317;Lalendorf;13053717;Briefwahl Lalendorf;1;1;0;196;0;2;2;98;39,6;33,9;14,6;5,2;4,7;0;0;2,1;x
A;53;Güstrow;5318;Steintanz-Warnowtal;13053004;Baumgarten;3;3;734;479;65,3;1;16;463;191;151;60;20;30;x;x;11;x
P;53;Güstrow;5318;Steintanz-Warnowtal;13053004;Baumgarten;3;3;734;479;65,3;1;3,3;96,7;41,3;32,6;13;4,3;6,5;x;x;2,4;x
A;53;Güstrow;5318;Steintanz-Warnowtal;13053004;Baumgarten;3;3;734;479;65,3;2;11;468;189;146;54;23;34;9;3;10;x
P;53;Güstrow;5318;Steintanz-Warnowtal;13053004;Baumgarten;3;3;734;479;65,3;2;2,3;97,7;40,4;31,2;11,5;4,9;7,3;1,9;0,6;2,1;x
A;53;Güstrow;5318;Steintanz-Warnowtal;13053019;Dreetz;1;1;182;125;68,7;1;5;120;53;47;5;3;11;x;x;1;x
P;53;Güstrow;5318;Steintanz-Warnowtal;13053019;Dreetz;1;1;182;125;68,7;1;4;96;44,2;39,2;4,2;2,5;9,2;x;x;0,8;x
A;53;Güstrow;5318;Steintanz-Warnowtal;13053019;Dreetz;1;1;182;125;68,7;2;1;124;47;45;10;6;14;0;0;2;x
P;53;Güstrow;5318;Steintanz-Warnowtal;13053019;Dreetz;1;1;182;125;68,7;2;0,8;99,2;37,9;36,3;8,1;4,8;11,3;0;0;1,6;x
A;53;Güstrow;5318;Steintanz-Warnowtal;13053030;Gülzow;1;1;842;554;65,8;1;20;534;231;157;94;12;31;x;x;9;x
P;53;Güstrow;5318;Steintanz-Warnowtal;13053030;Gülzow;1;1;842;554;65,8;1;3,6;96,4;43,3;29,4;17,6;2,2;5,8;x;x;1,7;x
A;53;Güstrow;5318;Steintanz-Warnowtal;13053030;Gülzow;1;1;842;554;65,8;2;21;533;200;155;107;19;33;4;3;12;x
P;53;Güstrow;5318;Steintanz-Warnowtal;13053030;Gülzow;1;1;842;554;65,8;2;3,8;96,2;37,5;29,1;20,1;3,6;6,2;0,8;0,6;2,3;x
A;53;Güstrow;5318;Steintanz-Warnowtal;13053072;Prüzen;1;1;641;361;56,3;1;9;352;169;95;51;4;31;x;x;2;x
P;53;Güstrow;5318;Steintanz-Warnowtal;13053072;Prüzen;1;1;641;361;56,3;1;2,5;97,5;48;27;14,5;1,1;8,8;x;x;0,6;x
A;53;Güstrow;5318;Steintanz-Warnowtal;13053072;Prüzen;1;1;641;361;56,3;2;9;352;154;96;56;13;28;2;0;3;x
P;53;Güstrow;5318;Steintanz-Warnowtal;13053072;Prüzen;1;1;641;361;56,3;2;2,5;97,5;43,8;27,3;15,9;3,7;8;0,6;0;0,9;x
A;53;Güstrow;5318;Steintanz-Warnowtal;13053086;Tarnow;3;3;1049;673;64,2;1;24;649;242;253;101;13;31;x;x;9;x
P;53;Güstrow;5318;Steintanz-Warnowtal;13053086;Tarnow;3;3;1049;673;64,2;1;3,6;96,4;37,3;39;15,6;2;4,8;x;x;1,4;x
A;53;Güstrow;5318;Steintanz-Warnowtal;13053086;Tarnow;3;3;1049;673;64,2;2;18;655;232;250;112;10;32;5;1;13;x
P;53;Güstrow;5318;Steintanz-Warnowtal;13053086;Tarnow;3;3;1049;673;64,2;2;2,7;97,3;35,4;38,2;17,1;1,5;4,9;0,8;0,2;2;x
A;53;Güstrow;5318;Steintanz-Warnowtal;13053094;Warnow;3;3;923;600;65;1;27;573;224;220;73;14;25;x;x;17;x
P;53;Güstrow;5318;Steintanz-Warnowtal;13053094;Warnow;3;3;923;600;65;1;4,5;95,5;39,1;38,4;12,7;2,4;4,4;x;x;3;x
A;53;Güstrow;5318;Steintanz-Warnowtal;13053094;Warnow;3;3;923;600;65;2;19;581;206;225;85;15;27;10;2;11;x
P;53;Güstrow;5318;Steintanz-Warnowtal;13053094;Warnow;3;3;923;600;65;2;3,2;96,8;35,5;38,7;14,6;2,6;4,6;1,7;0,3;1,9;x
A;53;Güstrow;5318;Steintanz-Warnowtal;13053718;Briefwahl Steintanz-Warnowtal;1;1;0;219;0;1;0;219;65;70;43;17;18;x;x;6;x
P;53;Güstrow;5318;Steintanz-Warnowtal;13053718;Briefwahl Steintanz-Warnowtal;1;1;0;219;0;1;0;100;29,7;32;19,6;7,8;8,2;x;x;2,7;x
A;53;Güstrow;5318;Steintanz-Warnowtal;13053718;Briefwahl Steintanz-Warnowtal;1;1;0;219;0;2;0;219;54;65;43;25;24;3;0;5;x
P;53;Güstrow;5318;Steintanz-Warnowtal;13053718;Briefwahl Steintanz-Warnowtal;1;1;0;219;0;2;0;100;24,7;29,7;19,6;11,4;11;1,4;0;2,3;x
A;53;Güstrow;5319;Teterow-Land;13053002;Alt Sührkow;1;1;393;270;68,7;1;8;262;111;104;30;2;11;x;x;4;x
P;53;Güstrow;5319;Teterow-Land;13053002;Alt Sührkow;1;1;393;270;68,7;1;3;97;42,4;39,7;11,5;0,8;4,2;x;x;1,5;x
A;53;Güstrow;5319;Teterow-Land;13053002;Alt Sührkow;1;1;393;270;68,7;2;3;267;105;104;32;3;17;2;2;2;x
P;53;Güstrow;5319;Teterow-Land;13053002;Alt Sührkow;1;1;393;270;68,7;2;1,1;98,9;39,3;39;12;1,1;6,4;0,7;0,7;0,7;x
A;53;Güstrow;5319;Teterow-Land;13053010;Bristow;1;1;185;110;59,5;1;6;104;61;18;15;7;2;x;x;1;x
P;53;Güstrow;5319;Teterow-Land;13053010;Bristow;1;1;185;110;59,5;1;5,5;94,5;58,7;17,3;14,4;6,7;1,9;x;x;1;x
A;53;Güstrow;5319;Teterow-Land;13053010;Bristow;1;1;185;110;59,5;2;6;104;48;23;15;9;5;0;2;2;x
P;53;Güstrow;5319;Teterow-Land;13053010;Bristow;1;1;185;110;59,5;2;5,5;94,5;46,2;22,1;14,4;8,7;4,8;0;1,9;1,9;x
A;53;Güstrow;5319;Teterow-Land;13053012;Bülow;1;1;283;170;60,1;1;9;161;54;67;28;4;5;x;x;3;x
P;53;Güstrow;5319;Teterow-Land;13053012;Bülow;1;1;283;170;60,1;1;5,3;94,7;33,5;41,6;17,4;2,5;3,1;x;x;1,9;x
A;53;Güstrow;5319;Teterow-Land;13053012;Bülow;1;1;283;170;60,1;2;8;162;48;64;34;5;6;1;1;3;x
P;53;Güstrow;5319;Teterow-Land;13053012;Bülow;1;1;283;170;60,1;2;4,7;95,3;29,6;39,5;21;3,1;3,7;0,6;0,6;1,9;x
A;53;Güstrow;5319;Teterow-Land;13053015;Dahmen;1;1;513;304;59,3;1;5;299;133;74;68;10;14;x;x;0;x
P;53;Güstrow;5319;Teterow-Land;13053015;Dahmen;1;1;513;304;59,3;1;1,6;98,4;44,5;24,7;22,7;3,3;4,7;x;x;0;x
A;53;Güstrow;5319;Teterow-Land;13053015;Dahmen;1;1;513;304;59,3;2;8;296;118;75;76;10;13;3;0;1;x
P;53;Güstrow;5319;Teterow-Land;13053015;Dahmen;1;1;513;304;59,3;2;2,6;97,4;39,9;25,3;25,7;3,4;4,4;1;0;0,3;x
A;53;Güstrow;5319;Teterow-Land;13053016;Dalkendorf;1;1;269;169;62,8;1;9;160;83;47;17;2;11;x;x;0;x
P;53;Güstrow;5319;Teterow-Land;13053016;Dalkendorf;1;1;269;169;62,8;1;5,3;94,7;51,9;29,4;10,6;1,3;6,9;x;x;0;x
A;53;Güstrow;5319;Teterow-Land;13053016;Dalkendorf;1;1;269;169;62,8;2;8;161;79;45;20;3;11;1;1;1;x
P;53;Güstrow;5319;Teterow-Land;13053016;Dalkendorf;1;1;269;169;62,8;2;4,7;95,3;49,1;28;12,4;1,9;6,8;0,6;0,6;0,6;x
A;53;Güstrow;5319;Teterow-Land;13053026;Groß Roge;1;1;608;391;64,3;1;14;377;176;118;60;5;16;x;x;2;x
P;53;Güstrow;5319;Teterow-Land;13053026;Groß Roge;1;1;608;391;64,3;1;3,6;96,4;46,7;31,3;15,9;1,3;4,2;x;x;0,5;x
A;53;Güstrow;5319;Teterow-Land;13053026;Groß Roge;1;1;608;391;64,3;2;12;379;168;114;64;7;22;0;0;4;x
P;53;Güstrow;5319;Teterow-Land;13053026;Groß Roge;1;1;608;391;64,3;2;3,1;96,9;44,3;30,1;16,9;1,8;5,8;0;0;1,1;x
A;53;Güstrow;5319;Teterow-Land;13053028;Groß Wokern;1;1;891;627;70,4;1;19;608;265;221;68;11;34;x;x;9;x
P;53;Güstrow;5319;Teterow-Land;13053028;Groß Wokern;1;1;891;627;70,4;1;3;97;43,6;36,3;11,2;1,8;5,6;x;x;1,5;x
A;53;Güstrow;5319;Teterow-Land;13053028;Groß Wokern;1;1;891;627;70,4;2;19;608;236;217;83;17;39;2;3;11;x
P;53;Güstrow;5319;Teterow-Land;13053028;Groß Wokern;1;1;891;627;70,4;2;3;97;38,8;35,7;13,7;2,8;6,4;0,3;0,5;1,8;x
A;53;Güstrow;5319;Teterow-Land;13053033;Hohen Demzin;1;1;373;233;62,5;1;17;216;91;75;36;6;6;x;x;2;x
P;53;Güstrow;5319;Teterow-Land;13053033;Hohen Demzin;1;1;373;233;62,5;1;7,3;92,7;42,1;34,7;16,7;2,8;2,8;x;x;0,9;x
A;53;Güstrow;5319;Teterow-Land;13053033;Hohen Demzin;1;1;373;233;62,5;2;17;216;91;69;40;5;7;0;0;4;x
P;53;Güstrow;5319;Teterow-Land;13053033;Hohen Demzin;1;1;373;233;62,5;2;7,3;92,7;42,1;31,9;18,5;2,3;3,2;0;0;1,9;x
A;53;Güstrow;5319;Teterow-Land;13053093;Warnkenhagen;1;1;338;222;65,7;1;5;217;94;85;24;4;7;x;x;3;x
P;53;Güstrow;5319;Teterow-Land;13053093;Warnkenhagen;1;1;338;222;65,7;1;2,3;97,7;43,3;39,2;11,1;1,8;3,2;x;x;1,4;x
A;53;Güstrow;5319;Teterow-Land;13053093;Warnkenhagen;1;1;338;222;65,7;2;7;215;82;89;19;10;7;2;1;5;x
P;53;Güstrow;5319;Teterow-Land;13053093;Warnkenhagen;1;1;338;222;65,7;2;3,2;96,8;38,1;41,4;8,8;4,7;3,3;0,9;0,5;2,3;x
A;53;Güstrow;5319;Teterow-Land;13053719;Briefwahl Teterow-Land;1;1;0;198;0;1;7;191;61;71;39;5;9;x;x;6;x
P;53;Güstrow;5319;Teterow-Land;13053719;Briefwahl Teterow-Land;1;1;0;198;0;1;3,5;96,5;31,9;37,2;20,4;2,6;4,7;x;x;3,1;x
A;53;Güstrow;5319;Teterow-Land;13053719;Briefwahl Teterow-Land;1;1;0;198;0;2;7;191;55;63;42;7;20;1;0;3;x
P;53;Güstrow;5319;Teterow-Land;13053719;Briefwahl Teterow-Land;1;1;0;198;0;2;3,5;96,5;28,8;33;22;3,7;10,5;0,5;0;1,6;x
A;54;Ludwigslust;5401;Boizenburg/Elbe, Stadt;13054013;Boizenburg/Elbe, Stadt;15;15;8836;6293;71,2;1;140;6153;3359;1246;1014;85;219;76;x;138;16
P;54;Ludwigslust;5401;Boizenburg/Elbe, Stadt;13054013;Boizenburg/Elbe, Stadt;15;15;8836;6293;71,2;1;2,2;97,8;54,6;20,3;16,5;1,4;3,6;1,2;x;2,2;0,3
A;54;Ludwigslust;5401;Boizenburg/Elbe, Stadt;13054013;Boizenburg/Elbe, Stadt;15;15;8836;6293;71,2;2;157;6136;3176;1277;1046;155;266;73;4;139;x
P;54;Ludwigslust;5401;Boizenburg/Elbe, Stadt;13054013;Boizenburg/Elbe, Stadt;15;15;8836;6293;71,2;2;2,5;97,5;51,8;20,8;17;2,5;4,3;1,2;0,1;2,3;x
A;54;Ludwigslust;5402;Grabow, Stadt;13054037;Grabow, Stadt;6;6;5323;3704;69,6;1;85;3619;1814;966;515;69;153;34;x;51;17
P;54;Ludwigslust;5402;Grabow, Stadt;13054037;Grabow, Stadt;6;6;5323;3704;69,6;1;2,3;97,7;50,1;26,7;14,2;1,9;4,2;0,9;x;1,4;0,5
A;54;Ludwigslust;5402;Grabow, Stadt;13054037;Grabow, Stadt;6;6;5323;3704;69,6;2;103;3601;1719;1001;528;93;171;29;9;51;x
P;54;Ludwigslust;5402;Grabow, Stadt;13054037;Grabow, Stadt;6;6;5323;3704;69,6;2;2,8;97,2;47,7;27,8;14,7;2,6;4,7;0,8;0,2;1,4;x
A;54;Ludwigslust;5403;Hagenow, Stadt;13054043;Hagenow, Stadt;12;12;9869;6810;69;1;128;6682;3403;1505;1181;143;274;67;x;93;16
P;54;Ludwigslust;5403;Hagenow, Stadt;13054043;Hagenow, Stadt;12;12;9869;6810;69;1;1,9;98,1;50,9;22,5;17,7;2,1;4,1;1;x;1,4;0,2
A;54;Ludwigslust;5403;Hagenow, Stadt;13054043;Hagenow, Stadt;12;12;9869;6810;69;2;117;6693;3298;1524;1184;180;319;72;5;111;x
P;54;Ludwigslust;5403;Hagenow, Stadt;13054043;Hagenow, Stadt;12;12;9869;6810;69;2;1,7;98,3;49,3;22,8;17,7;2,7;4,8;1,1;0,1;1,7;x
A;54;Ludwigslust;5404;Ludwigslust, Stadt;13054069;Ludwigslust, Stadt;14;14;9830;7155;72,8;1;144;7011;3233;1821;1214;209;350;87;x;82;15
P;54;Ludwigslust;5404;Ludwigslust, Stadt;13054069;Ludwigslust, Stadt;14;14;9830;7155;72,8;1;2;98;46,1;26;17,3;3;5;1,2;x;1,2;0,2
A;54;Ludwigslust;5404;Ludwigslust, Stadt;13054069;Ludwigslust, Stadt;14;14;9830;7155;72,8;2;133;7022;3131;1868;1171;306;372;85;9;80;x
P;54;Ludwigslust;5404;Ludwigslust, Stadt;13054069;Ludwigslust, Stadt;14;14;9830;7155;72,8;2;1,9;98,1;44,6;26,6;16,7;4,4;5,3;1,2;0,1;1,1;x
A;54;Ludwigslust;5405;Wittenburg, Stadt;13054117;Wittenburg, Stadt;7;7;4159;2814;67,7;1;69;2745;1333;807;329;75;124;29;x;34;14
P;54;Ludwigslust;5405;Wittenburg, Stadt;13054117;Wittenburg, Stadt;7;7;4159;2814;67,7;1;2,5;97,5;48,6;29,4;12;2,7;4,5;1,1;x;1,2;0,5
A;54;Ludwigslust;5405;Wittenburg, Stadt;13054117;Wittenburg, Stadt;7;7;4159;2814;67,7;2;82;2732;1288;826;329;83;141;24;2;39;x
P;54;Ludwigslust;5405;Wittenburg, Stadt;13054117;Wittenburg, Stadt;7;7;4159;2814;67,7;2;2,9;97,1;47,1;30,2;12;3;5,2;0,9;0,1;1,4;x
A;54;Ludwigslust;5411;Boizenburg-Land;13054009;Besitz;1;1;409;280;68,5;1;10;270;146;66;32;8;8;5;x;4;1
P;54;Ludwigslust;5411;Boizenburg-Land;13054009;Besitz;1;1;409;280;68,5;1;3,6;96,4;54,1;24,4;11,9;3;3;1,9;x;1,5;0,4
A;54;Ludwigslust;5411;Boizenburg-Land;13054009;Besitz;1;1;409;280;68,5;2;8;272;133;66;33;12;17;4;1;6;x
P;54;Ludwigslust;5411;Boizenburg-Land;13054009;Besitz;1;1;409;280;68,5;2;2,9;97,1;48,9;24,3;12,1;4,4;6,3;1,5;0,4;2,2;x
A;54;Ludwigslust;5411;Boizenburg-Land;13054039;Gresse;1;1;566;369;65,2;1;9;360;169;118;36;3;22;6;x;5;1
P;54;Ludwigslust;5411;Boizenburg-Land;13054039;Gresse;1;1;566;369;65,2;1;2,4;97,6;46,9;32,8;10;0,8;6,1;1,7;x;1,4;0,3
A;54;Ludwigslust;5411;Boizenburg-Land;13054039;Gresse;1;1;566;369;65,2;2;7;362;152;118;47;6;23;5;1;10;x
P;54;Ludwigslust;5411;Boizenburg-Land;13054039;Gresse;1;1;566;369;65,2;2;1,9;98,1;42;32,6;13;1,7;6,4;1,4;0,3;2,8;x
A;54;Ludwigslust;5411;Boizenburg-Land;13054040;Greven;1;1;589;368;62,5;1;10;358;182;113;34;6;9;6;x;7;1
P;54;Ludwigslust;5411;Boizenburg-Land;13054040;Greven;1;1;589;368;62,5;1;2,7;97,3;50,8;31,6;9,5;1,7;2,5;1,7;x;2;0,3
A;54;Ludwigslust;5411;Boizenburg-Land;13054040;Greven;1;1;589;368;62,5;2;3;365;169;116;42;10;14;7;1;6;x
P;54;Ludwigslust;5411;Boizenburg-Land;13054040;Greven;1;1;589;368;62,5;2;0,8;99,2;46,3;31,8;11,5;2,7;3,8;1,9;0,3;1,6;x
A;54;Ludwigslust;5411;Boizenburg-Land;13054053;Klein Bengerstorf;1;1;280;196;70;1;3;193;98;75;12;3;2;0;x;3;0
P;54;Ludwigslust;5411;Boizenburg-Land;13054053;Klein Bengerstorf;1;1;280;196;70;1;1,5;98,5;50,8;38,9;6,2;1,6;1;0;x;1,6;0
A;54;Ludwigslust;5411;Boizenburg-Land;13054053;Klein Bengerstorf;1;1;280;196;70;2;3;193;87;74;17;7;4;1;0;3;x
P;54;Ludwigslust;5411;Boizenburg-Land;13054053;Klein Bengerstorf;1;1;280;196;70;2;1,5;98,5;45,1;38,3;8,8;3,6;2,1;0,5;0;1,6;x
A;54;Ludwigslust;5411;Boizenburg-Land;13054078;Neu Gülze;1;1;613;430;70,1;1;2;428;227;109;48;8;18;3;x;13;2
P;54;Ludwigslust;5411;Boizenburg-Land;13054078;Neu Gülze;1;1;613;430;70,1;1;0,5;99,5;53;25,5;11,2;1,9;4,2;0,7;x;3;0,5
A;54;Ludwigslust;5411;Boizenburg-Land;13054078;Neu Gülze;1;1;613;430;70,1;2;5;425;199;116;52;14;29;2;0;13;x
P;54;Ludwigslust;5411;Boizenburg-Land;13054078;Neu Gülze;1;1;613;430;70,1;2;1,2;98,8;46,8;27,3;12,2;3,3;6,8;0,5;0;3,1;x
A;54;Ludwigslust;5411;Boizenburg-Land;13054083;Nostorf;1;1;272;203;74,6;1;7;196;99;43;31;7;8;3;x;3;2
P;54;Ludwigslust;5411;Boizenburg-Land;13054083;Nostorf;1;1;272;203;74,6;1;3,4;96,6;50,5;21,9;15,8;3,6;4,1;1,5;x;1,5;1
A;54;Ludwigslust;5411;Boizenburg-Land;13054083;Nostorf;1;1;272;203;74,6;2;7;196;97;44;34;5;7;3;1;5;x
P;54;Ludwigslust;5411;Boizenburg-Land;13054083;Nostorf;1;1;272;203;74,6;2;3,4;96,6;49,5;22,4;17,3;2,6;3,6;1,5;0,5;2,6;x
A;54;Ludwigslust;5411;Boizenburg-Land;13054096;Schwanheide;1;1;624;400;64,1;1;11;389;234;50;73;7;11;4;x;8;2
P;54;Ludwigslust;5411;Boizenburg-Land;13054096;Schwanheide;1;1;624;400;64,1;1;2,8;97,3;60,2;12,9;18,8;1,8;2,8;1;x;2,1;0,5
A;54;Ludwigslust;5411;Boizenburg-Land;13054096;Schwanheide;1;1;624;400;64,1;2;13;387;224;54;74;9;12;5;0;9;x
P;54;Ludwigslust;5411;Boizenburg-Land;13054096;Schwanheide;1;1;624;400;64,1;2;3,3;96,8;57,9;14;19,1;2,3;3,1;1,3;0;2,3;x
A;54;Ludwigslust;5411;Boizenburg-Land;13054102;Teldau;1;1;691;458;66,3;1;5;453;250;91;60;6;27;7;x;10;2
P;54;Ludwigslust;5411;Boizenburg-Land;13054102;Teldau;1;1;691;458;66,3;1;1,1;98,9;55,2;20,1;13,2;1,3;6;1,5;x;2,2;0,4
