Gebiet,Wahlberechtigte,Waehler,Ungueltige_Erststimmen,Ungueltige_Zeitstimmen,Gueltige_Erststimmen,Gueltige_Zweitstimmen,SPD_Erststimmen,SPD_Zweitstimmen,Union_gesamt_Erststimmen,Union_gesamt_Zweitstimmen,CDU_Erststimmen,CDU_Zweitstimmen,CSU_Erststimmen,CSU_Zweitstimmen,GRUENE_Erststimmen,GRUENE_Zweitstimmen,FDP_Erststimmen,FDP_Zweitstimmen,Linke_Erststimmen,Linke_Zweitstimmen,Afd_Erststimmen,Afd_Zweitstimmen
Bundesgebiet,62168489,44005575,757575,634385,43248000,43371190,12079758,9990488,17047674,14658515,13856674,11828277,3191000,2830238,3977125,4643272,4076496,6316080,4791124,5155933,,
MV,1400298,882176,16467,14909,865709,867267,161414,143607,301823,287481,301823,287481,,,46826,47841,61469,85203,255411,251536,,
